[rosmaster.main][INFO] 2020-02-01 11:36:39,162: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-01 11:36:39,163: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-01 11:36:39,163: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-01 11:36:39,164: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-01 11:36:39,164: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-01 11:36:39,164: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-01 11:36:39,228: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 11:36:39,230: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35905] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 11:36:39,312: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 11:36:39,312: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 11:36:39,347: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39903/
[rosmaster.master][INFO] 2020-02-01 11:36:39,348: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39903/
[rosmaster.master][INFO] 2020-02-01 11:36:39,349: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39903/
[rosmaster.master][INFO] 2020-02-01 11:36:39,352: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39903/
[rosmaster.master][INFO] 2020-02-01 12:03:40,179: +PUB [/rosout] /sr_determine_colors_13574_1580538820040 http://itachi-HP-Pavilion-Laptop-15-cc1xx:42059/
[rosmaster.master][INFO] 2020-02-01 12:03:40,210: +SERVICE [/sr_determine_colors_13574_1580538820040/get_loggers] /sr_determine_colors_13574_1580538820040 http://itachi-HP-Pavilion-Laptop-15-cc1xx:42059/
[rosmaster.master][INFO] 2020-02-01 12:03:40,214: +SERVICE [/sr_determine_colors_13574_1580538820040/set_logger_level] /sr_determine_colors_13574_1580538820040 http://itachi-HP-Pavilion-Laptop-15-cc1xx:42059/
[rosmaster.master][INFO] 2020-02-01 12:03:40,218: +PUB [/detection_info] /sr_determine_colors_13574_1580538820040 http://itachi-HP-Pavilion-Laptop-15-cc1xx:42059/
[rosmaster.master][INFO] 2020-02-01 12:03:40,220: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39903/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42059/']
[rosmaster.master][INFO] 2020-02-01 12:03:40,226: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39903/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42059/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-01 12:03:40,228: +SUB [/usb_cam/image_rect_color] /sr_determine_colors_13574_1580538820040 http://itachi-HP-Pavilion-Laptop-15-cc1xx:42059/
[rosmaster.master][INFO] 2020-02-01 12:03:44,528: -SUB [/usb_cam/image_rect_color] /sr_determine_colors_13574_1580538820040 http://itachi-HP-Pavilion-Laptop-15-cc1xx:42059/
[rosmaster.master][INFO] 2020-02-01 12:03:44,529: -PUB [/detection_info] /sr_determine_colors_13574_1580538820040 http://itachi-HP-Pavilion-Laptop-15-cc1xx:42059/
[rosmaster.master][INFO] 2020-02-01 12:03:44,529: -PUB [/rosout] /sr_determine_colors_13574_1580538820040 http://itachi-HP-Pavilion-Laptop-15-cc1xx:42059/
[rosmaster.master][INFO] 2020-02-01 12:03:44,530: -SERVICE [/sr_determine_colors_13574_1580538820040/set_logger_level] /sr_determine_colors_13574_1580538820040 rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:33235
[rosmaster.master][INFO] 2020-02-01 12:03:44,530: -SERVICE [/sr_determine_colors_13574_1580538820040/get_loggers] /sr_determine_colors_13574_1580538820040 rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:33235
[rosmaster.master][INFO] 2020-02-01 12:03:44,540: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39903/ []
[rosmaster.master][INFO] 2020-02-01 12:03:44,541: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39903/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-01 12:04:08,161: +PUB [/rosout] /sr_determine_colors_13666_1580538848031 http://itachi-HP-Pavilion-Laptop-15-cc1xx:40819/
[rosmaster.master][INFO] 2020-02-01 12:04:08,167: +SERVICE [/sr_determine_colors_13666_1580538848031/get_loggers] /sr_determine_colors_13666_1580538848031 http://itachi-HP-Pavilion-Laptop-15-cc1xx:40819/
[rosmaster.master][INFO] 2020-02-01 12:04:08,170: +SERVICE [/sr_determine_colors_13666_1580538848031/set_logger_level] /sr_determine_colors_13666_1580538848031 http://itachi-HP-Pavilion-Laptop-15-cc1xx:40819/
[rosmaster.master][INFO] 2020-02-01 12:04:08,174: +PUB [/detection_info] /sr_determine_colors_13666_1580538848031 http://itachi-HP-Pavilion-Laptop-15-cc1xx:40819/
[rosmaster.master][INFO] 2020-02-01 12:04:08,181: +SUB [/usb_cam/image_rect_color] /sr_determine_colors_13666_1580538848031 http://itachi-HP-Pavilion-Laptop-15-cc1xx:40819/
