[rosmaster.main][INFO] 2019-12-28 02:24:00,433: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-28 02:24:00,433: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-28 02:24:00,434: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-28 02:24:00,434: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-28 02:24:00,434: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-28 02:24:00,434: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-28 02:24:00,450: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:24:00,451: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39893] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:24:00,538: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:24:00,538: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:24:00,538: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:24:00,538: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:24:00,538: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:24:00,538: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:24:00,539: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:24:00,539: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:24:00,539: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:24:00,539: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:24:00,539: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:24:00,540: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:24:00,540: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38981/
[rosmaster.master][INFO] 2019-12-28 02:24:00,541: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38981/
[rosmaster.master][INFO] 2019-12-28 02:24:00,542: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38981/
[rosmaster.master][INFO] 2019-12-28 02:24:00,545: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38981/
[rosmaster.master][INFO] 2019-12-28 02:24:00,566: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35653/
[rosmaster.master][INFO] 2019-12-28 02:24:00,567: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35653/
[rosmaster.master][INFO] 2019-12-28 02:24:00,567: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35653/
[rosmaster.master][INFO] 2019-12-28 02:24:00,576: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35271/
[rosmaster.master][INFO] 2019-12-28 02:24:00,577: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35271/
[rosmaster.master][INFO] 2019-12-28 02:24:00,578: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35271/
