[rosmaster.main][INFO] 2019-12-18 02:14:24,451: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-18 02:14:24,451: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-18 02:14:24,452: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-18 02:14:24,452: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-18 02:14:24,452: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-18 02:14:24,453: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-18 02:14:24,517: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:14:24,521: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34637] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:14:24,619: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:14:24,620: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:14:24,620: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:14:24,620: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:14:24,620: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:14:24,621: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:14:24,621: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:14:24,621: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:14:24,623: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38289/
[rosmaster.master][INFO] 2019-12-18 02:14:24,623: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38289/
[rosmaster.master][INFO] 2019-12-18 02:14:24,624: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38289/
[rosmaster.master][INFO] 2019-12-18 02:14:24,627: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38289/
[rosmaster.master][INFO] 2019-12-18 02:14:24,642: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,642: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,643: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,651: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38791/
[rosmaster.master][INFO] 2019-12-18 02:14:24,652: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38791/
[rosmaster.master][INFO] 2019-12-18 02:14:24,652: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38289/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/']
[rosmaster.master][INFO] 2019-12-18 02:14:24,653: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38791/
[rosmaster.master][INFO] 2019-12-18 02:14:24,654: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38289/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-18 02:14:24,654: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38289/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38791/']
[rosmaster.master][INFO] 2019-12-18 02:14:24,655: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38289/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38791/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-18 02:14:24,674: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,675: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,676: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,676: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,678: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,679: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,679: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,680: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,680: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,681: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,682: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,683: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,684: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,684: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,687: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,687: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,688: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,688: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,689: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,689: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,690: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,692: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,693: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,693: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,694: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,696: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,696: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,697: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,698: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,698: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,699: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,699: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,700: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:14:24,700: +PUB [/usb_cam/camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,710: +SERVICE [/usb_cam/set_camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,711: +SERVICE [/usb_cam/start_capture] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,712: +SERVICE [/usb_cam/stop_capture] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:14:24,788: +SUB [/usb_cam/image_raw] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38791/
[rosmaster.master][INFO] 2019-12-18 02:14:24,791: +PUB [/usb_cam_display/image_view/output] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38791/
[rosmaster.master][INFO] 2019-12-18 02:14:24,792: +SERVICE [/usb_cam_display/image_view/set_parameters] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38791/
[rosmaster.master][INFO] 2019-12-18 02:14:24,793: +PUB [/usb_cam_display/image_view/parameter_descriptions] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38791/
[rosmaster.master][INFO] 2019-12-18 02:14:24,793: +PUB [/usb_cam_display/image_view/parameter_updates] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38791/
[rosmaster.master][INFO] 2019-12-18 02:14:24,796: +PARAM [/usb_cam_display/image_view/do_dynamic_scaling] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 02:14:24,796: +PARAM [/usb_cam_display/image_view/colormap] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 02:14:24,797: +PARAM [/usb_cam_display/image_view/min_image_value] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 02:14:24,798: +PARAM [/usb_cam_display/image_view/max_image_value] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 02:14:24,798: +PARAM [/usb_cam_display/image_view/do_dynamic_scaling] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 02:14:24,799: +PARAM [/usb_cam_display/image_view/colormap] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 02:14:24,799: +PARAM [/usb_cam_display/image_view/min_image_value] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 02:14:24,800: +PARAM [/usb_cam_display/image_view/max_image_value] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 02:23:11,341: -PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38791/
[rosmaster.master][INFO] 2019-12-18 02:23:11,341: -PUB [/usb_cam_display/image_view/output] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38791/
[rosmaster.master][INFO] 2019-12-18 02:23:11,342: -PUB [/usb_cam_display/image_view/parameter_descriptions] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38791/
[rosmaster.master][INFO] 2019-12-18 02:23:11,342: -PUB [/usb_cam_display/image_view/parameter_updates] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38791/
[rosmaster.master][INFO] 2019-12-18 02:23:11,343: -SUB [/usb_cam/image_raw] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38791/
[rosmaster.master][INFO] 2019-12-18 02:23:11,343: -PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:23:11,344: -SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:42123
[rosmaster.master][INFO] 2019-12-18 02:23:11,344: -PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:23:11,345: -SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:42123
[rosmaster.master][INFO] 2019-12-18 02:23:11,345: -PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:23:11,346: -SERVICE [/usb_cam_display/image_view/set_parameters] /usb_cam_display/image_view rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:42123
[rosmaster.master][INFO] 2019-12-18 02:23:11,346: -PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:23:11,347: -PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:23:11,347: -PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:23:11,348: -PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:23:11,348: -PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:23:11,348: -PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:23:11,349: -PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:23:11,349: -PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:23:11,349: -PUB [/usb_cam/camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/
[rosmaster.master][INFO] 2019-12-18 02:23:11,351: -SERVICE [/usb_cam/get_loggers] /usb_cam rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:59093
[rosmaster.master][INFO] 2019-12-18 02:23:11,351: -SERVICE [/usb_cam/set_logger_level] /usb_cam rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:59093
[rosmaster.master][INFO] 2019-12-18 02:23:11,351: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38289/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/']
[rosmaster.master][INFO] 2019-12-18 02:23:11,352: -SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:59093
[rosmaster.master][INFO] 2019-12-18 02:23:11,352: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38289/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40459/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-18 02:23:11,352: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38289/ []
[rosmaster.master][INFO] 2019-12-18 02:23:11,353: -SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:59093
[rosmaster.master][INFO] 2019-12-18 02:23:11,354: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38289/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-18 02:23:11,354: -SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:59093
[rosmaster.master][INFO] 2019-12-18 02:23:11,355: -SERVICE [/usb_cam/set_camera_info] /usb_cam rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:59093
[rosmaster.master][INFO] 2019-12-18 02:23:11,356: -SERVICE [/usb_cam/start_capture] /usb_cam rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:59093
[rosmaster.master][INFO] 2019-12-18 02:23:11,357: -SERVICE [/usb_cam/stop_capture] /usb_cam rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:59093
[rosmaster.master][INFO] 2019-12-18 02:23:11,855: -PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38289/
[rosmaster.master][INFO] 2019-12-18 02:23:11,855: -SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38289/
[rosmaster.master][INFO] 2019-12-18 02:23:11,856: -SERVICE [/rosout/get_loggers] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:38947
[rosmaster.master][INFO] 2019-12-18 02:23:11,856: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:38947
[rosmaster.main][INFO] 2019-12-18 02:23:11,908: keyboard interrupt, will exit
[rosmaster.main][INFO] 2019-12-18 02:23:11,908: stopping master...
[rospy.core][INFO] 2019-12-18 02:23:11,908: signal_shutdown [atexit]
