[rosmaster.main][INFO] 2020-02-28 18:28:27,590: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 18:28:27,590: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 18:28:27,591: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 18:28:27,591: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 18:28:27,591: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 18:28:27,591: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 18:28:27,638: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:28:27,640: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34713] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:28:27,733: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:28:27,733: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:28:27,733: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:28:27,733: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:28:27,733: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:28:27,733: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:28:27,733: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:28:27,733: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:28:27,734: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:28:27,734: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:28:27,734: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:28:27,734: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:28:27,734: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:28:27,734: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:28:27,735: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41927/
[rosmaster.master][INFO] 2020-02-28 18:28:27,736: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41927/
[rosmaster.master][INFO] 2020-02-28 18:28:27,737: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41927/
[rosmaster.master][INFO] 2020-02-28 18:28:27,739: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41927/
[rosmaster.master][INFO] 2020-02-28 18:28:27,765: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46623/
[rosmaster.master][INFO] 2020-02-28 18:28:27,765: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46623/
[rosmaster.master][INFO] 2020-02-28 18:28:27,766: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46623/
