[rosmaster.main][INFO] 2019-12-24 18:42:18,620: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-24 18:42:18,620: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-24 18:42:18,621: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-24 18:42:18,621: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-24 18:42:18,621: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-24 18:42:18,621: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-24 18:42:18,671: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:42:18,673: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35191] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:42:18,771: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:42:18,771: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:42:18,771: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:42:18,771: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:42:18,772: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:42:18,772: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:42:18,772: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:42:18,772: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:42:18,772: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:42:18,772: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:42:18,772: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:42:18,772: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:42:18,774: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38553/
[rosmaster.master][INFO] 2019-12-24 18:42:18,774: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38553/
[rosmaster.master][INFO] 2019-12-24 18:42:18,775: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38553/
[rosmaster.master][INFO] 2019-12-24 18:42:18,778: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38553/
[rosmaster.master][INFO] 2019-12-24 18:42:18,799: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45299/
[rosmaster.master][INFO] 2019-12-24 18:42:18,800: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45299/
[rosmaster.master][INFO] 2019-12-24 18:42:18,801: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45299/
[rosmaster.master][INFO] 2019-12-24 18:42:18,803: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41961/
[rosmaster.master][INFO] 2019-12-24 18:42:18,804: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41961/
[rosmaster.master][INFO] 2019-12-24 18:42:18,804: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41961/
[rosmaster.master][INFO] 2019-12-24 18:42:18,818: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34121/
[rosmaster.master][INFO] 2019-12-24 18:42:18,819: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34121/
[rosmaster.master][INFO] 2019-12-24 18:42:18,820: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34121/
