[rosmaster.main][INFO] 2020-02-28 20:23:00,958: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 20:23:00,958: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 20:23:00,958: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 20:23:00,959: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 20:23:00,959: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 20:23:00,959: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 20:23:00,995: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:23:00,996: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35145] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:23:01,085: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:23:01,085: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:23:01,085: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:23:01,085: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:23:01,085: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:23:01,085: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:23:01,085: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:23:01,086: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:23:01,086: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:23:01,086: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:23:01,086: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:23:01,086: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:23:01,086: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:23:01,086: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:23:01,088: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41005/
[rosmaster.master][INFO] 2020-02-28 20:23:01,088: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41005/
[rosmaster.master][INFO] 2020-02-28 20:23:01,089: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41005/
[rosmaster.master][INFO] 2020-02-28 20:23:01,092: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41005/
[rosmaster.master][INFO] 2020-02-28 20:23:01,122: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45217/
[rosmaster.master][INFO] 2020-02-28 20:23:01,124: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45217/
[rosmaster.master][INFO] 2020-02-28 20:23:01,125: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45217/
[rosmaster.master][INFO] 2020-02-28 20:23:01,134: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39337/
[rosmaster.master][INFO] 2020-02-28 20:23:01,135: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39337/
