[rosmaster.main][INFO] 2019-12-30 04:59:13,891: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-30 04:59:13,891: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-30 04:59:13,892: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-30 04:59:13,892: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-30 04:59:13,893: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-30 04:59:13,893: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-30 04:59:13,951: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:59:13,954: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39613] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:59:14,041: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:59:14,041: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:59:14,046: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41439/
[rosmaster.master][INFO] 2019-12-30 04:59:14,047: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41439/
[rosmaster.master][INFO] 2019-12-30 04:59:14,048: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41439/
[rosmaster.master][INFO] 2019-12-30 04:59:14,051: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41439/
[rosmaster.master][INFO] 2019-12-30 04:59:16,513: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44237] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:59:16,516: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:59:16,516: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:59:16,516: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:59:16,516: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:59:16,516: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:59:16,516: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:59:16,516: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:59:16,516: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:59:16,516: +PARAM [/whycon/outer_diameter] by /roslaunch
