[rosmaster.main][INFO] 2020-02-26 14:49:05,640: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-26 14:49:05,640: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-26 14:49:05,641: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-26 14:49:05,641: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-26 14:49:05,641: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-26 14:49:05,641: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-26 14:49:05,676: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 14:49:05,679: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33597] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 14:49:05,789: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 14:49:05,789: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 14:49:05,789: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 14:49:05,789: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 14:49:05,789: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 14:49:05,790: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 14:49:05,790: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 14:49:05,790: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 14:49:05,790: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 14:49:05,790: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 14:49:05,790: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 14:49:05,790: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 14:49:05,790: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 14:49:05,791: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 14:49:06,359: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-26 14:49:06,361: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-26 14:49:06,366: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-26 14:49:06,378: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/
[rosmaster.master][INFO] 2020-02-26 14:49:06,404: +PUB [/rosout] /serial_node http://itachi-HP-Pavilion-Laptop-15-cc1xx:37309/
[rosmaster.master][INFO] 2020-02-26 14:49:06,413: +SERVICE [/serial_node/get_loggers] /serial_node http://itachi-HP-Pavilion-Laptop-15-cc1xx:37309/
[rosmaster.master][INFO] 2020-02-26 14:49:06,416: +SERVICE [/serial_node/set_logger_level] /serial_node http://itachi-HP-Pavilion-Laptop-15-cc1xx:37309/
[rosmaster.master][INFO] 2020-02-26 14:49:06,436: +PUB [/diagnostics] /serial_node http://itachi-HP-Pavilion-Laptop-15-cc1xx:37309/
[rosmaster.master][INFO] 2020-02-26 14:49:06,442: -PUB [/diagnostics] /serial_node http://itachi-HP-Pavilion-Laptop-15-cc1xx:37309/
[rosmaster.master][INFO] 2020-02-26 14:49:06,443: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37309/']
[rosmaster.master][INFO] 2020-02-26 14:49:06,443: -PUB [/rosout] /serial_node http://itachi-HP-Pavilion-Laptop-15-cc1xx:37309/
[rosmaster.master][INFO] 2020-02-26 14:49:06,447: -SERVICE [/serial_node/get_loggers] /serial_node rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:42923
[rosmaster.master][INFO] 2020-02-26 14:49:06,448: -SERVICE [/serial_node/set_logger_level] /serial_node rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:42923
[rosmaster.master][INFO] 2020-02-26 14:49:06,449: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37309/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-26 14:49:06,450: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/ []
[rosmaster.master][INFO] 2020-02-26 14:49:06,452: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-26 14:49:06,714: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/
[rosmaster.master][INFO] 2020-02-26 14:49:06,717: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/
[rosmaster.master][INFO] 2020-02-26 14:49:06,719: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/
[rosmaster.master][INFO] 2020-02-26 14:49:06,744: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/']
[rosmaster.master][INFO] 2020-02-26 14:49:06,746: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-26 14:49:06,898: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34285/
[rosmaster.master][INFO] 2020-02-26 14:49:06,901: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34285/
[rosmaster.master][INFO] 2020-02-26 14:49:06,903: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34285/
[rosmaster.master][INFO] 2020-02-26 14:49:06,945: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34285/']
[rosmaster.master][INFO] 2020-02-26 14:49:06,947: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34285/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-26 14:49:06,952: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42739/
[rosmaster.master][INFO] 2020-02-26 14:49:06,954: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42739/
[rosmaster.master][INFO] 2020-02-26 14:49:06,954: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36443/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34285/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42739/']
[rosmaster.master][INFO] 2020-02-26 14:49:06,956: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42739/
[rosmaster.master][INFO] 2020-02-26 14:49:06,999: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/
[rosmaster.master][INFO] 2020-02-26 14:49:07,000: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/
[rosmaster.master][INFO] 2020-02-26 14:49:07,000: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/
[rosmaster.master][INFO] 2020-02-26 14:49:07,001: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/
[rosmaster.master][INFO] 2020-02-26 14:49:07,003: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 14:49:07,003: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 14:49:07,004: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 14:49:07,004: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 14:49:07,005: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 14:49:07,005: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 14:49:07,035: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/
[rosmaster.master][INFO] 2020-02-26 14:49:07,038: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/
[rosmaster.master][INFO] 2020-02-26 14:49:07,040: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/
[rosmaster.master][INFO] 2020-02-26 14:49:07,042: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/
[rosmaster.master][INFO] 2020-02-26 14:49:07,046: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 14:49:07,047: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 14:49:07,048: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 14:49:07,049: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 14:49:07,050: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 14:49:07,051: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 14:49:07,057: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/
[rosmaster.master][INFO] 2020-02-26 14:49:07,078: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/
[rosmaster.master][INFO] 2020-02-26 14:49:07,081: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/
[rosmaster.master][INFO] 2020-02-26 14:49:07,083: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/
[rosmaster.master][INFO] 2020-02-26 14:49:07,085: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40787/
[rosmaster.master][INFO] 2020-02-26 14:49:07,093: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 14:49:07,095: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
