[rosmaster.main][INFO] 2019-12-22 19:13:26,070: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-22 19:13:26,070: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-22 19:13:26,071: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-22 19:13:26,071: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-22 19:13:26,071: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-22 19:13:26,071: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-22 19:13:26,130: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:13:26,132: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__36743] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:13:26,231: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:13:26,232: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:13:26,232: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:13:26,232: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:13:26,232: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:13:26,232: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:13:26,232: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:13:26,232: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:13:26,232: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:13:26,232: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:13:26,232: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:13:26,233: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:13:26,234: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43657/
[rosmaster.master][INFO] 2019-12-22 19:13:26,234: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43657/
[rosmaster.master][INFO] 2019-12-22 19:13:26,235: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43657/
[rosmaster.master][INFO] 2019-12-22 19:13:26,237: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43657/
[rosmaster.master][INFO] 2019-12-22 19:13:26,255: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41809/
[rosmaster.master][INFO] 2019-12-22 19:13:26,256: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41809/
