[rosmaster.main][INFO] 2020-02-01 00:38:20,523: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-01 00:38:20,524: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-01 00:38:20,524: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-01 00:38:20,525: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-01 00:38:20,525: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-01 00:38:20,525: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-01 00:38:20,570: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:38:20,574: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42351] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:38:20,675: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:38:20,675: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:38:20,675: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:38:20,675: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:38:20,675: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:38:20,675: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:38:20,676: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:38:20,676: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:38:20,676: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:38:20,676: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:38:20,676: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:38:20,676: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-01 00:38:20,927: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35435/
[rosmaster.master][INFO] 2020-02-01 00:38:20,929: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35435/
[rosmaster.master][INFO] 2020-02-01 00:38:20,932: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35435/
[rosmaster.master][INFO] 2020-02-01 00:38:20,938: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35435/
[rosmaster.master][INFO] 2020-02-01 00:38:20,979: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34647/
[rosmaster.master][INFO] 2020-02-01 00:38:20,980: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34647/
[rosmaster.master][INFO] 2020-02-01 00:38:20,981: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34647/
[rosmaster.master][INFO] 2020-02-01 00:38:21,025: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35435/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34647/']
