[rosmaster.main][INFO] 2019-12-22 19:13:33,924: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-22 19:13:33,924: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-22 19:13:33,925: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-22 19:13:33,926: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-22 19:13:33,926: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-22 19:13:33,926: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-22 19:13:33,987: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:13:33,990: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37815] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:13:34,088: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:13:34,088: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:13:34,093: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44205/
[rosmaster.master][INFO] 2019-12-22 19:13:34,093: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44205/
[rosmaster.master][INFO] 2019-12-22 19:13:34,094: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44205/
[rosmaster.master][INFO] 2019-12-22 19:13:34,097: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44205/
[rosmaster.master][INFO] 2019-12-22 19:13:43,716: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38099] by /roslaunch
