[rosmaster.main][INFO] 2019-12-29 03:34:42,692: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-29 03:34:42,692: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-29 03:34:42,693: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-29 03:34:42,693: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-29 03:34:42,693: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-29 03:34:42,693: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-29 03:34:42,752: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:34:42,753: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39767] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:34:42,833: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:34:42,834: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:34:42,838: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44355/
[rosmaster.master][INFO] 2019-12-29 03:34:42,839: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44355/
[rosmaster.master][INFO] 2019-12-29 03:34:42,840: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44355/
[rosmaster.master][INFO] 2019-12-29 03:34:42,843: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44355/
[rosmaster.master][INFO] 2019-12-29 03:34:44,934: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38571] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:34:44,937: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:34:44,937: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:34:44,937: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:34:44,937: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:34:44,937: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:34:44,938: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:34:44,938: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:34:44,938: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:34:44,938: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:34:44,938: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:34:44,938: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:34:44,938: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:34:45,026: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/
[rosmaster.master][INFO] 2019-12-29 03:34:45,027: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/
[rosmaster.master][INFO] 2019-12-29 03:34:45,028: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/
[rosmaster.master][INFO] 2019-12-29 03:34:45,030: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/
[rosmaster.master][INFO] 2019-12-29 03:34:45,031: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/
[rosmaster.master][INFO] 2019-12-29 03:34:45,031: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/
[rosmaster.master][INFO] 2019-12-29 03:34:45,040: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:41543/
[rosmaster.master][INFO] 2019-12-29 03:34:45,040: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:41543/
[rosmaster.master][INFO] 2019-12-29 03:34:45,041: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:41543/
[rosmaster.master][INFO] 2019-12-29 03:34:45,050: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38599/
[rosmaster.master][INFO] 2019-12-29 03:34:45,051: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38599/
[rosmaster.master][INFO] 2019-12-29 03:34:45,052: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38599/
[rosmaster.master][INFO] 2019-12-29 03:34:45,071: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/
[rosmaster.master][INFO] 2019-12-29 03:34:45,072: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/
[rosmaster.master][INFO] 2019-12-29 03:34:45,074: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/
[rosmaster.master][INFO] 2019-12-29 03:34:45,075: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/
[rosmaster.master][INFO] 2019-12-29 03:34:45,076: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/
[rosmaster.master][INFO] 2019-12-29 03:34:45,077: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/
[rosmaster.master][INFO] 2019-12-29 03:34:45,083: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/
[rosmaster.master][INFO] 2019-12-29 03:34:45,087: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:34:45,088: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:34:45,089: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:34:45,090: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:34:45,091: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/
[rosmaster.master][INFO] 2019-12-29 03:34:45,092: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:34:45,093: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/
[rosmaster.master][INFO] 2019-12-29 03:34:45,094: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:34:45,095: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/
[rosmaster.master][INFO] 2019-12-29 03:34:45,095: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:34:45,097: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/
[rosmaster.master][INFO] 2019-12-29 03:34:45,097: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:34:45,098: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44355/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/']
[rosmaster.master][INFO] 2019-12-29 03:34:45,100: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/
[rosmaster.master][INFO] 2019-12-29 03:34:45,101: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44355/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-29 03:34:45,102: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44355/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/']
[rosmaster.master][INFO] 2019-12-29 03:34:45,102: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44355/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-29 03:34:45,103: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/
[rosmaster.master][INFO] 2019-12-29 03:34:45,103: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44355/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41543/']
[rosmaster.master][INFO] 2019-12-29 03:34:45,104: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:41543/
[rosmaster.master][INFO] 2019-12-29 03:34:45,104: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44355/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41543/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-29 03:34:45,105: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/
[rosmaster.master][INFO] 2019-12-29 03:34:45,105: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44355/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41543/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38599/']
[rosmaster.master][INFO] 2019-12-29 03:34:45,105: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:34:45,106: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44355/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41543/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38599/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-29 03:34:45,107: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/
[rosmaster.master][INFO] 2019-12-29 03:34:45,108: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:34:45,109: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:34:45,111: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:34:45,112: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:34:45,114: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:34:45,114: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:34:45,116: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:34:45,117: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:34:45,118: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/
[rosmaster.master][INFO] 2019-12-29 03:34:45,118: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:41543/
[rosmaster.master][INFO] 2019-12-29 03:34:45,119: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:34:45,119: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/
[rosmaster.master][INFO] 2019-12-29 03:34:45,121: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:34:45,121: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/
[rosmaster.master][INFO] 2019-12-29 03:34:45,122: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:34:45,123: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34043/
[rosmaster.master][INFO] 2019-12-29 03:34:45,125: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34439/
[rosmaster.master][INFO] 2019-12-29 03:34:45,126: +SUB [/usb_cam/camera_info] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:41543/
