[rosmaster.main][INFO] 2019-12-31 09:30:17,099: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 09:30:17,099: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 09:30:17,100: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 09:30:17,100: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 09:30:17,100: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 09:30:17,100: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 09:30:17,141: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:30:17,145: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46799] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:30:17,242: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:30:17,242: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:30:17,242: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:30:17,242: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:30:17,242: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:30:17,242: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:30:17,243: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:30:17,243: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:30:17,243: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:30:17,243: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:30:17,243: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:30:17,243: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:30:17,244: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44513/
[rosmaster.master][INFO] 2019-12-31 09:30:17,245: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44513/
[rosmaster.master][INFO] 2019-12-31 09:30:17,246: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44513/
[rosmaster.master][INFO] 2019-12-31 09:30:17,249: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44513/
[rosmaster.master][INFO] 2019-12-31 09:30:17,271: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41105/
[rosmaster.master][INFO] 2019-12-31 09:30:17,272: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41105/
[rosmaster.master][INFO] 2019-12-31 09:30:17,273: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41105/
[rosmaster.master][INFO] 2019-12-31 09:30:17,275: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36477/
[rosmaster.master][INFO] 2019-12-31 09:30:17,276: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36477/
[rosmaster.master][INFO] 2019-12-31 09:30:17,276: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36477/
[rosmaster.master][INFO] 2019-12-31 09:30:17,285: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34531/
[rosmaster.master][INFO] 2019-12-31 09:30:17,285: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34531/
[rosmaster.master][INFO] 2019-12-31 09:30:17,286: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34531/
[rosmaster.master][INFO] 2019-12-31 09:30:17,300: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44513/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41105/']
[rosmaster.master][INFO] 2019-12-31 09:30:17,301: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44513/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41105/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:30:17,302: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44513/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41105/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36477/']
[rosmaster.master][INFO] 2019-12-31 09:30:17,303: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44513/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41105/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36477/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:30:17,303: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44513/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41105/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36477/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34531/']
[rosmaster.master][INFO] 2019-12-31 09:30:17,304: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36477/
[rosmaster.master][INFO] 2019-12-31 09:30:17,304: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44513/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41105/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36477/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34531/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:30:17,305: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45355/
[rosmaster.master][INFO] 2019-12-31 09:30:17,306: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36477/
[rosmaster.master][INFO] 2019-12-31 09:30:17,307: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45355/
