[rosmaster.main][INFO] 2020-02-05 00:05:02,305: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-05 00:05:02,305: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-05 00:05:02,307: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-05 00:05:02,307: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-05 00:05:02,308: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-05 00:05:02,308: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-05 00:05:02,365: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:05:02,368: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33855] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:05:02,467: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:05:02,467: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:05:02,467: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:05:02,467: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:05:02,467: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:05:02,467: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:05:02,467: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:05:02,467: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:05:02,467: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:05:02,467: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:05:02,467: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:05:02,467: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:05:02,469: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44133/
[rosmaster.master][INFO] 2020-02-05 00:05:02,470: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44133/
[rosmaster.master][INFO] 2020-02-05 00:05:02,471: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44133/
[rosmaster.master][INFO] 2020-02-05 00:05:02,473: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44133/
[rosmaster.master][INFO] 2020-02-05 00:05:02,491: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44973/
[rosmaster.master][INFO] 2020-02-05 00:05:02,492: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44973/
[rosmaster.master][INFO] 2020-02-05 00:05:02,492: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44973/
[rosmaster.master][INFO] 2020-02-05 00:05:02,498: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35819/
[rosmaster.master][INFO] 2020-02-05 00:05:02,499: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35819/
[rosmaster.master][INFO] 2020-02-05 00:05:02,499: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35819/
[rosmaster.master][INFO] 2020-02-05 00:05:02,507: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44133/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44973/']
[rosmaster.master][INFO] 2020-02-05 00:05:02,508: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44133/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44973/']: sec=0.00, result=[1, '', 0]
