[rosmaster.main][INFO] 2020-02-27 09:40:15,181: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 09:40:15,181: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 09:40:15,182: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 09:40:15,182: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 09:40:15,182: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 09:40:15,183: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 09:40:15,232: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:40:15,234: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39563] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:40:15,335: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:40:15,335: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:40:15,335: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:40:15,335: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:40:15,335: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:40:15,335: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:40:15,336: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:40:15,336: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:40:15,336: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:40:15,336: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:40:15,336: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:40:15,337: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:40:15,337: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:40:15,337: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:40:15,337: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44843/
[rosmaster.master][INFO] 2020-02-27 09:40:15,338: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44843/
[rosmaster.master][INFO] 2020-02-27 09:40:15,339: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44843/
[rosmaster.master][INFO] 2020-02-27 09:40:15,342: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44843/
[rosmaster.master][INFO] 2020-02-27 09:40:15,373: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42219/
[rosmaster.master][INFO] 2020-02-27 09:40:15,374: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42219/
[rosmaster.master][INFO] 2020-02-27 09:40:15,375: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42219/
[rosmaster.master][INFO] 2020-02-27 09:40:15,382: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44843/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42219/']
[rosmaster.master][INFO] 2020-02-27 09:40:15,384: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44843/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42219/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 09:40:15,385: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43873/
[rosmaster.master][INFO] 2020-02-27 09:40:15,386: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43873/
[rosmaster.master][INFO] 2020-02-27 09:40:15,386: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43873/
[rosmaster.master][INFO] 2020-02-27 09:40:15,392: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33439/
[rosmaster.master][INFO] 2020-02-27 09:40:15,393: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33439/
[rosmaster.master][INFO] 2020-02-27 09:40:15,394: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33439/
[rosmaster.master][INFO] 2020-02-27 09:40:15,411: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34081/
[rosmaster.master][INFO] 2020-02-27 09:40:15,412: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34081/
[rosmaster.master][INFO] 2020-02-27 09:40:15,413: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34081/
[rosmaster.master][INFO] 2020-02-27 09:40:15,428: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43873/
[rosmaster.master][INFO] 2020-02-27 09:40:15,429: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43873/
[rosmaster.master][INFO] 2020-02-27 09:40:15,430: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43873/
[rosmaster.master][INFO] 2020-02-27 09:40:15,432: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42219/
[rosmaster.master][INFO] 2020-02-27 09:40:15,433: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 09:40:15,434: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42219/
[rosmaster.master][INFO] 2020-02-27 09:40:15,435: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 09:40:15,436: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42219/
[rosmaster.master][INFO] 2020-02-27 09:40:15,438: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42219/
[rosmaster.master][INFO] 2020-02-27 09:40:15,439: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43873/
[rosmaster.master][INFO] 2020-02-27 09:40:15,440: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43873/
[rosmaster.master][INFO] 2020-02-27 09:40:15,442: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43873/
[rosmaster.master][INFO] 2020-02-27 09:40:15,444: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43873/
[rosmaster.master][INFO] 2020-02-27 09:40:15,444: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 09:40:15,445: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 09:40:15,447: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 09:40:15,448: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 09:40:15,450: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 09:40:15,450: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 09:40:15,451: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 09:40:15,452: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 09:40:15,453: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33439/
[rosmaster.master][INFO] 2020-02-27 09:40:15,454: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 09:40:15,454: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42219/
[rosmaster.master][INFO] 2020-02-27 09:40:15,456: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 09:40:15,456: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42219/
[rosmaster.master][INFO] 2020-02-27 09:40:15,457: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 09:40:15,458: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42219/
[rosmaster.master][INFO] 2020-02-27 09:40:15,459: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
