[rosmaster.main][INFO] 2019-12-27 20:19:19,004: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 20:19:19,004: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 20:19:19,005: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 20:19:19,005: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 20:19:19,005: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 20:19:19,005: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 20:19:19,066: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:19:19,070: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35605] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:19:19,160: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:19:19,160: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:19:19,164: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38685/
[rosmaster.master][INFO] 2019-12-27 20:19:19,165: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38685/
[rosmaster.master][INFO] 2019-12-27 20:19:19,166: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38685/
[rosmaster.master][INFO] 2019-12-27 20:19:19,169: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38685/
[rosmaster.master][INFO] 2019-12-27 20:19:20,839: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39947] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:19:20,851: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:19:20,852: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:19:20,852: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:19:20,853: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:19:20,853: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:19:20,853: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:19:20,854: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:19:20,854: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:19:20,854: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:19:20,854: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:19:20,854: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:19:20,854: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:19:20,946: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46419/
[rosmaster.master][INFO] 2019-12-27 20:19:20,947: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46419/
[rosmaster.master][INFO] 2019-12-27 20:19:20,948: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46419/
[rosmaster.master][INFO] 2019-12-27 20:19:20,953: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46295/
[rosmaster.master][INFO] 2019-12-27 20:19:20,954: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46295/
