[rosmaster.main][INFO] 2019-12-23 02:51:49,197: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-23 02:51:49,197: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-23 02:51:49,197: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-23 02:51:49,198: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-23 02:51:49,198: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-23 02:51:49,198: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-23 02:51:49,251: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:51:49,253: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33373] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:51:49,338: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:51:49,338: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:51:49,338: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:51:49,338: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:51:49,338: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:51:49,338: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:51:49,339: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:51:49,339: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:51:49,339: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:51:49,339: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:51:49,339: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:51:49,339: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:51:49,341: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43189/
[rosmaster.master][INFO] 2019-12-23 02:51:49,341: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43189/
[rosmaster.master][INFO] 2019-12-23 02:51:49,343: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43189/
[rosmaster.master][INFO] 2019-12-23 02:51:49,346: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43189/
[rosmaster.master][INFO] 2019-12-23 02:51:49,362: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42367/
[rosmaster.master][INFO] 2019-12-23 02:51:49,363: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42367/
[rosmaster.master][INFO] 2019-12-23 02:51:49,363: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42367/
[rosmaster.master][INFO] 2019-12-23 02:51:49,374: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36141/
[rosmaster.master][INFO] 2019-12-23 02:51:49,375: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36141/
[rosmaster.master][INFO] 2019-12-23 02:51:49,376: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36141/
[rosmaster.master][INFO] 2019-12-23 02:51:49,382: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43637/
[rosmaster.master][INFO] 2019-12-23 02:51:49,386: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43637/
[rosmaster.master][INFO] 2019-12-23 02:51:49,387: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43637/
[rosmaster.master][INFO] 2019-12-23 02:51:49,390: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43915/
[rosmaster.master][INFO] 2019-12-23 02:51:49,391: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43915/
[rosmaster.master][INFO] 2019-12-23 02:51:49,392: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43915/
[rosmaster.master][INFO] 2019-12-23 02:51:49,397: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43189/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42367/']
[rosmaster.master][INFO] 2019-12-23 02:51:49,399: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43189/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42367/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-23 02:51:49,399: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43189/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42367/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36141/']
[rosmaster.master][INFO] 2019-12-23 02:51:49,400: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43189/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42367/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36141/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-23 02:51:49,400: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43189/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42367/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36141/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43637/']
[rosmaster.master][INFO] 2019-12-23 02:51:49,401: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43189/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42367/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36141/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43637/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-23 02:51:49,401: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43189/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42367/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36141/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43637/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43915/']
