[rosmaster.main][INFO] 2020-02-04 00:20:39,085: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-04 00:20:39,085: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-04 00:20:39,086: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-04 00:20:39,086: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-04 00:20:39,086: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-04 00:20:39,086: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-04 00:20:39,124: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 00:20:39,125: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43871] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 00:20:39,210: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 00:20:39,211: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 00:20:39,211: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 00:20:39,211: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 00:20:39,211: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 00:20:39,211: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 00:20:39,211: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 00:20:39,211: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 00:20:39,211: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 00:20:39,211: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 00:20:39,211: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 00:20:39,211: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 00:20:39,244: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44609/
[rosmaster.master][INFO] 2020-02-04 00:20:39,245: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44609/
[rosmaster.master][INFO] 2020-02-04 00:20:39,247: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44609/
[rosmaster.master][INFO] 2020-02-04 00:20:39,251: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44609/
[rosmaster.master][INFO] 2020-02-04 00:20:39,350: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46451/
[rosmaster.master][INFO] 2020-02-04 00:20:39,351: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46451/
[rosmaster.master][INFO] 2020-02-04 00:20:39,352: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46451/
[rosmaster.master][INFO] 2020-02-04 00:20:39,386: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44609/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46451/']
[rosmaster.master][INFO] 2020-02-04 00:20:39,388: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44609/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46451/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-04 00:20:39,413: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46333/
[rosmaster.master][INFO] 2020-02-04 00:20:39,414: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46333/
[rosmaster.master][INFO] 2020-02-04 00:20:39,415: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46333/
[rosmaster.master][INFO] 2020-02-04 00:20:39,435: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46451/
[rosmaster.master][INFO] 2020-02-04 00:20:39,436: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46451/
[rosmaster.master][INFO] 2020-02-04 00:20:39,437: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46451/
