[rosmaster.main][INFO] 2020-02-28 20:30:42,267: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 20:30:42,268: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 20:30:42,268: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 20:30:42,269: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 20:30:42,269: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 20:30:42,269: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 20:30:42,315: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:30:42,317: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34059] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:30:42,420: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:30:42,421: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:30:42,421: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:30:42,421: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:30:42,421: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:30:42,421: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:30:42,421: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:30:42,421: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:30:42,421: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:30:42,421: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:30:42,421: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:30:42,422: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:30:42,422: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:30:42,422: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:30:42,423: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33655/
[rosmaster.master][INFO] 2020-02-28 20:30:42,423: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33655/
[rosmaster.master][INFO] 2020-02-28 20:30:42,424: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33655/
[rosmaster.master][INFO] 2020-02-28 20:30:42,427: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33655/
[rosmaster.master][INFO] 2020-02-28 20:30:42,456: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33777/
[rosmaster.master][INFO] 2020-02-28 20:30:42,457: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33777/
[rosmaster.master][INFO] 2020-02-28 20:30:42,458: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33777/
[rosmaster.master][INFO] 2020-02-28 20:30:42,468: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33655/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33777/']
[rosmaster.master][INFO] 2020-02-28 20:30:42,470: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33655/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33777/']: sec=0.00, result=[1, '', 0]
