[rosmaster.main][INFO] 2020-02-27 16:42:51,226: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 16:42:51,226: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 16:42:51,227: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 16:42:51,227: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 16:42:51,227: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 16:42:51,227: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 16:42:51,279: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:42:51,280: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__40881] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:42:51,375: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:42:51,375: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:42:51,375: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:42:51,375: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:42:51,375: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:42:51,375: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:42:51,375: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:42:51,375: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:42:51,375: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:42:51,376: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:42:51,376: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:42:51,376: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:42:51,376: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:42:51,376: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:42:51,377: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46639/
[rosmaster.master][INFO] 2020-02-27 16:42:51,378: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46639/
[rosmaster.master][INFO] 2020-02-27 16:42:51,379: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46639/
[rosmaster.master][INFO] 2020-02-27 16:42:51,381: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46639/
[rosmaster.master][INFO] 2020-02-27 16:42:51,413: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38713/
[rosmaster.master][INFO] 2020-02-27 16:42:51,414: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41913/
[rosmaster.master][INFO] 2020-02-27 16:42:51,415: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38713/
[rosmaster.master][INFO] 2020-02-27 16:42:51,415: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41913/
[rosmaster.master][INFO] 2020-02-27 16:42:51,416: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38713/
[rosmaster.master][INFO] 2020-02-27 16:42:51,417: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41913/
[rosmaster.master][INFO] 2020-02-27 16:42:51,425: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42901/
[rosmaster.master][INFO] 2020-02-27 16:42:51,426: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42901/
[rosmaster.master][INFO] 2020-02-27 16:42:51,427: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46639/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38713/']
