[rosmaster.main][INFO] 2019-12-28 00:51:33,963: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-28 00:51:33,963: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-28 00:51:33,964: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-28 00:51:33,964: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-28 00:51:33,964: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-28 00:51:33,964: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-28 00:51:34,015: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:51:34,016: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43397] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:51:34,105: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:51:34,105: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:51:34,111: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40553/
[rosmaster.master][INFO] 2019-12-28 00:51:34,112: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40553/
[rosmaster.master][INFO] 2019-12-28 00:51:34,113: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40553/
[rosmaster.master][INFO] 2019-12-28 00:51:34,116: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40553/
[rosmaster.master][INFO] 2019-12-28 00:51:36,342: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42101] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:51:36,345: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:51:36,345: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:51:36,345: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:51:36,345: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:51:36,345: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:51:36,345: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:51:36,345: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:51:36,345: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:51:36,345: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:51:36,345: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:51:36,345: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:51:36,345: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:51:36,428: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45997/
[rosmaster.master][INFO] 2019-12-28 00:51:36,429: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45997/
[rosmaster.master][INFO] 2019-12-28 00:51:36,430: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45997/
[rosmaster.master][INFO] 2019-12-28 00:51:36,438: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40303/
[rosmaster.master][INFO] 2019-12-28 00:51:36,438: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40303/
[rosmaster.master][INFO] 2019-12-28 00:51:36,439: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40303/
[rosmaster.master][INFO] 2019-12-28 00:51:36,451: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36399/
[rosmaster.master][INFO] 2019-12-28 00:51:36,452: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36399/
[rosmaster.master][INFO] 2019-12-28 00:51:36,453: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36399/
[rosmaster.master][INFO] 2019-12-28 00:51:36,460: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36435/
[rosmaster.master][INFO] 2019-12-28 00:51:36,461: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36435/
[rosmaster.master][INFO] 2019-12-28 00:51:36,462: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36435/
[rosmaster.master][INFO] 2019-12-28 00:51:36,469: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40303/
[rosmaster.master][INFO] 2019-12-28 00:51:36,469: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40553/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45997/']
[rosmaster.master][INFO] 2019-12-28 00:51:36,470: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40303/
[rosmaster.master][INFO] 2019-12-28 00:51:36,471: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40553/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45997/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 00:51:36,471: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40303/
[rosmaster.master][INFO] 2019-12-28 00:51:36,472: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40553/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45997/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40303/']
[rosmaster.master][INFO] 2019-12-28 00:51:36,472: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45997/
[rosmaster.master][INFO] 2019-12-28 00:51:36,473: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40553/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45997/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40303/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 00:51:36,473: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40553/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45997/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40303/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36399/']
[rosmaster.master][INFO] 2019-12-28 00:51:36,474: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45997/
[rosmaster.master][INFO] 2019-12-28 00:51:36,474: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40553/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45997/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40303/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36399/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 00:51:36,475: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:51:36,475: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40553/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45997/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40303/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36399/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36435/']
[rosmaster.master][INFO] 2019-12-28 00:51:36,476: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45997/
[rosmaster.master][INFO] 2019-12-28 00:51:36,477: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40553/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45997/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40303/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36399/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36435/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 00:51:36,477: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:51:36,478: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45997/
