[rosmaster.main][INFO] 2020-02-04 22:39:29,127: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-04 22:39:29,127: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-04 22:39:29,128: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-04 22:39:29,128: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-04 22:39:29,128: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-04 22:39:29,128: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-04 22:39:29,154: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 22:39:29,156: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41077] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 22:39:29,251: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 22:39:29,251: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 22:39:29,251: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 22:39:29,251: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 22:39:29,251: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 22:39:29,251: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 22:39:29,251: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 22:39:29,251: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 22:39:29,251: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 22:39:29,251: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 22:39:29,251: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 22:39:29,251: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 22:39:30,131: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35517/
[rosmaster.master][INFO] 2020-02-04 22:39:30,135: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35517/
[rosmaster.master][INFO] 2020-02-04 22:39:30,139: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35517/
[rosmaster.master][INFO] 2020-02-04 22:39:30,150: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35517/
[rosmaster.master][INFO] 2020-02-04 22:39:30,470: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36577/
[rosmaster.master][INFO] 2020-02-04 22:39:30,473: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44301/
[rosmaster.master][INFO] 2020-02-04 22:39:30,474: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36577/
[rosmaster.master][INFO] 2020-02-04 22:39:30,477: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44301/
[rosmaster.master][INFO] 2020-02-04 22:39:30,479: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36577/
[rosmaster.master][INFO] 2020-02-04 22:39:30,481: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44301/
[rosmaster.master][INFO] 2020-02-04 22:39:30,532: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35517/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36577/']
[rosmaster.master][INFO] 2020-02-04 22:39:30,533: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35517/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36577/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-04 22:39:30,534: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35517/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36577/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44301/']
[rosmaster.master][INFO] 2020-02-04 22:39:30,534: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35517/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36577/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44301/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-04 22:39:30,783: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44301/
[rosmaster.master][INFO] 2020-02-04 22:39:30,785: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44301/
[rosmaster.master][INFO] 2020-02-04 22:39:30,786: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44301/
[rosmaster.master][INFO] 2020-02-04 22:39:30,787: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44301/
[rosmaster.master][INFO] 2020-02-04 22:39:30,790: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36577/
[rosmaster.master][INFO] 2020-02-04 22:39:30,790: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-04 22:39:30,791: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36577/
[rosmaster.master][INFO] 2020-02-04 22:39:30,792: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-04 22:39:30,792: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36577/
[rosmaster.master][INFO] 2020-02-04 22:39:30,793: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-04 22:39:30,794: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-04 22:39:30,795: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-04 22:39:30,796: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-04 22:39:30,796: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-04 22:39:30,797: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-04 22:39:30,798: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36577/
[rosmaster.master][INFO] 2020-02-04 22:39:30,798: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36577/
[rosmaster.master][INFO] 2020-02-04 22:39:30,799: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36577/
[rosmaster.master][INFO] 2020-02-04 22:39:30,800: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36577/
[rosmaster.master][INFO] 2020-02-04 22:39:30,800: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44301/
[rosmaster.master][INFO] 2020-02-04 22:39:30,801: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44301/
[rosmaster.master][INFO] 2020-02-04 22:39:30,802: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44301/
[rosmaster.master][INFO] 2020-02-04 22:39:30,803: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44301/
[rosmaster.master][INFO] 2020-02-04 22:39:30,804: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-04 22:39:30,805: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-04 22:39:30,806: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44711/
[rosmaster.master][INFO] 2020-02-04 22:39:30,807: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-04 22:39:30,807: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44711/
[rosmaster.master][INFO] 2020-02-04 22:39:30,808: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-04 22:39:30,808: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44711/
[rosmaster.master][INFO] 2020-02-04 22:39:30,809: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-04 22:39:30,809: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-04 22:39:30,810: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-04 22:39:30,813: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-04 22:39:30,814: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-04 22:39:30,814: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36577/
[rosmaster.master][INFO] 2020-02-04 22:39:30,815: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-04 22:39:30,815: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36577/
[rosmaster.master][INFO] 2020-02-04 22:39:30,816: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
