[rosmaster.main][INFO] 2020-02-28 19:47:50,341: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 19:47:50,341: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 19:47:50,342: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 19:47:50,342: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 19:47:50,342: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 19:47:50,342: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 19:47:50,395: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:47:50,397: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44279] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:47:50,491: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:47:50,491: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:47:50,491: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:47:50,491: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:47:50,491: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:47:50,491: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:47:50,492: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:47:50,492: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:47:50,492: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:47:50,492: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:47:50,492: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:47:50,492: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:47:50,492: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:47:50,493: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:47:50,493: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35611/
[rosmaster.master][INFO] 2020-02-28 19:47:50,494: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35611/
[rosmaster.master][INFO] 2020-02-28 19:47:50,495: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35611/
[rosmaster.master][INFO] 2020-02-28 19:47:50,497: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35611/
[rosmaster.master][INFO] 2020-02-28 19:47:50,522: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36923/
[rosmaster.master][INFO] 2020-02-28 19:47:50,523: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36923/
[rosmaster.master][INFO] 2020-02-28 19:47:50,524: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36923/
