[rosmaster.main][INFO] 2020-01-30 21:41:01,886: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-30 21:41:01,886: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-30 21:41:01,887: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-30 21:41:01,887: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-30 21:41:01,888: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-30 21:41:01,888: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-30 21:41:01,957: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:41:01,961: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46735] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:41:02,054: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:41:02,054: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:41:02,058: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38707/
[rosmaster.master][INFO] 2020-01-30 21:41:02,059: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38707/
[rosmaster.master][INFO] 2020-01-30 21:41:02,060: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38707/
[rosmaster.master][INFO] 2020-01-30 21:41:02,063: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38707/
[rosmaster.master][INFO] 2020-01-30 21:42:05,636: +PUB [/image_topic_2] /image_converter_7653_1580400725605 http://itachi-HP-Pavilion-Laptop-15-cc1xx:32829/
[rosmaster.master][INFO] 2020-01-30 21:42:05,637: +SUB [/image_topic] /image_converter_7653_1580400725605 http://itachi-HP-Pavilion-Laptop-15-cc1xx:32829/
[rosmaster.master][INFO] 2020-01-30 21:42:05,738: +PUB [/rosout] /image_converter_7653_1580400725605 http://itachi-HP-Pavilion-Laptop-15-cc1xx:32829/
[rosmaster.master][INFO] 2020-01-30 21:42:05,746: +SERVICE [/image_converter_7653_1580400725605/get_loggers] /image_converter_7653_1580400725605 http://itachi-HP-Pavilion-Laptop-15-cc1xx:32829/
[rosmaster.master][INFO] 2020-01-30 21:42:05,750: +SERVICE [/image_converter_7653_1580400725605/set_logger_level] /image_converter_7653_1580400725605 http://itachi-HP-Pavilion-Laptop-15-cc1xx:32829/
[rosmaster.master][INFO] 2020-01-30 21:42:05,829: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38707/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:32829/']
[rosmaster.master][INFO] 2020-01-30 21:42:05,834: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38707/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:32829/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 21:43:39,504: -SUB [/image_topic] /image_converter_7653_1580400725605 http://itachi-HP-Pavilion-Laptop-15-cc1xx:32829/
[rosmaster.master][INFO] 2020-01-30 21:43:39,505: -PUB [/image_topic_2] /image_converter_7653_1580400725605 http://itachi-HP-Pavilion-Laptop-15-cc1xx:32829/
[rosmaster.master][INFO] 2020-01-30 21:43:39,505: -PUB [/rosout] /image_converter_7653_1580400725605 http://itachi-HP-Pavilion-Laptop-15-cc1xx:32829/
[rosmaster.master][INFO] 2020-01-30 21:43:39,505: -SERVICE [/image_converter_7653_1580400725605/set_logger_level] /image_converter_7653_1580400725605 rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:45769
[rosmaster.master][INFO] 2020-01-30 21:43:39,506: -SERVICE [/image_converter_7653_1580400725605/get_loggers] /image_converter_7653_1580400725605 rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:45769
[rosmaster.master][INFO] 2020-01-30 21:43:39,544: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38707/ []
[rosmaster.master][INFO] 2020-01-30 21:43:39,546: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38707/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 21:43:42,477: +SUB [/usb_cam/image_rect] /image_converter_7700_1580400822448 http://itachi-HP-Pavilion-Laptop-15-cc1xx:34327/
[rosmaster.master][INFO] 2020-01-30 21:43:42,579: +PUB [/rosout] /image_converter_7700_1580400822448 http://itachi-HP-Pavilion-Laptop-15-cc1xx:34327/
[rosmaster.master][INFO] 2020-01-30 21:43:42,587: +SERVICE [/image_converter_7700_1580400822448/get_loggers] /image_converter_7700_1580400822448 http://itachi-HP-Pavilion-Laptop-15-cc1xx:34327/
[rosmaster.master][INFO] 2020-01-30 21:43:42,591: +SERVICE [/image_converter_7700_1580400822448/set_logger_level] /image_converter_7700_1580400822448 http://itachi-HP-Pavilion-Laptop-15-cc1xx:34327/
[rosmaster.master][INFO] 2020-01-30 21:43:42,652: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38707/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34327/']
[rosmaster.master][INFO] 2020-01-30 21:43:42,654: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38707/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34327/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 21:43:47,273: -SUB [/usb_cam/image_rect] /image_converter_7700_1580400822448 http://itachi-HP-Pavilion-Laptop-15-cc1xx:34327/
[rosmaster.master][INFO] 2020-01-30 21:43:47,274: -PUB [/rosout] /image_converter_7700_1580400822448 http://itachi-HP-Pavilion-Laptop-15-cc1xx:34327/
[rosmaster.master][INFO] 2020-01-30 21:43:47,274: -SERVICE [/image_converter_7700_1580400822448/set_logger_level] /image_converter_7700_1580400822448 rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:45731
[rosmaster.master][INFO] 2020-01-30 21:43:47,275: -SERVICE [/image_converter_7700_1580400822448/get_loggers] /image_converter_7700_1580400822448 rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:45731
[rosmaster.master][INFO] 2020-01-30 21:43:47,365: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38707/ []
[rosmaster.master][INFO] 2020-01-30 21:43:47,367: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38707/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 21:44:09,993: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46835] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:44:09,996: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:44:09,996: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:44:09,996: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:44:09,996: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:44:09,996: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:44:09,996: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:44:09,996: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:44:09,996: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:44:09,997: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:44:09,997: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:44:09,997: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:44:09,997: +PARAM [/whycon/inner_diameter] by /roslaunch
