[rosmaster.main][INFO] 2019-12-27 20:41:09,220: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 20:41:09,220: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 20:41:09,221: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 20:41:09,221: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 20:41:09,221: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 20:41:09,222: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 20:41:09,280: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:41:09,284: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39893] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:41:09,381: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:41:09,381: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:41:09,381: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:41:09,382: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:41:09,382: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:41:09,382: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:41:09,382: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:41:09,382: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:41:09,382: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:41:09,382: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:41:09,383: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:41:09,383: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:41:09,383: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41249/
[rosmaster.master][INFO] 2019-12-27 20:41:09,384: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41249/
[rosmaster.master][INFO] 2019-12-27 20:41:09,385: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41249/
[rosmaster.master][INFO] 2019-12-27 20:41:09,388: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41249/
[rosmaster.master][INFO] 2019-12-27 20:41:09,406: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38253/
[rosmaster.master][INFO] 2019-12-27 20:41:09,407: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38253/
[rosmaster.master][INFO] 2019-12-27 20:41:09,408: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38253/
[rosmaster.master][INFO] 2019-12-27 20:41:09,415: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42897/
[rosmaster.master][INFO] 2019-12-27 20:41:09,416: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42897/
[rosmaster.master][INFO] 2019-12-27 20:41:09,417: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42897/
[rosmaster.master][INFO] 2019-12-27 20:41:09,421: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41249/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38253/']
[rosmaster.master][INFO] 2019-12-27 20:41:09,423: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41249/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38253/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 20:41:09,423: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41249/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38253/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42897/']
[rosmaster.master][INFO] 2019-12-27 20:41:09,424: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41249/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38253/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42897/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 20:41:09,426: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42277/
[rosmaster.master][INFO] 2019-12-27 20:41:09,427: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42277/
