[rosmaster.main][INFO] 2020-02-28 17:17:35,693: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 17:17:35,693: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 17:17:35,693: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 17:17:35,694: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 17:17:35,694: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 17:17:35,694: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 17:17:35,750: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:17:35,752: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__40611] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:17:35,849: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:17:35,849: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:17:35,849: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:17:35,850: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:17:35,850: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:17:35,850: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:17:35,850: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:17:35,850: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:17:35,850: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:17:35,850: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:17:35,850: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:17:35,851: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:17:35,851: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:17:35,851: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:17:35,852: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42615/
[rosmaster.master][INFO] 2020-02-28 17:17:35,852: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42615/
[rosmaster.master][INFO] 2020-02-28 17:17:35,853: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42615/
[rosmaster.master][INFO] 2020-02-28 17:17:35,857: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42615/
[rosmaster.master][INFO] 2020-02-28 17:17:35,880: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46249/
[rosmaster.master][INFO] 2020-02-28 17:17:35,881: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46249/
[rosmaster.master][INFO] 2020-02-28 17:17:35,882: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46249/
