[rosmaster.main][INFO] 2019-12-22 14:06:15,626: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-22 14:06:15,626: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-22 14:06:15,627: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2019-12-22 14:06:15,628: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-22 14:06:15,628: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-22 14:06:15,628: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-22 14:06:15,696: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:06:15,700: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46835] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:06:15,797: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:06:15,797: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:06:15,797: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:06:15,797: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:06:15,797: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:06:15,797: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:06:15,797: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:06:15,797: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:06:15,798: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:06:15,798: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:06:15,798: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:06:15,798: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:06:15,799: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38821/
[rosmaster.master][INFO] 2019-12-22 14:06:15,799: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38821/
[rosmaster.master][INFO] 2019-12-22 14:06:15,800: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38821/
[rosmaster.master][INFO] 2019-12-22 14:06:15,803: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38821/
[rosmaster.master][INFO] 2019-12-22 14:06:15,820: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38901/
[rosmaster.master][INFO] 2019-12-22 14:06:15,821: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38901/
[rosmaster.master][INFO] 2019-12-22 14:06:15,822: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38901/
[rosmaster.master][INFO] 2019-12-22 14:06:15,826: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46667/
[rosmaster.master][INFO] 2019-12-22 14:06:15,827: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46667/
[rosmaster.master][INFO] 2019-12-22 14:06:15,827: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38821/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38901/']
[rosmaster.master][INFO] 2019-12-22 14:06:15,829: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46667/
[rosmaster.master][INFO] 2019-12-22 14:06:15,829: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38821/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38901/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-22 14:06:15,830: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38821/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38901/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46667/']
[rosmaster.master][INFO] 2019-12-22 14:06:15,831: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38821/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38901/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46667/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-22 14:06:15,835: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43371/
[rosmaster.master][INFO] 2019-12-22 14:06:15,836: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43371/
[rosmaster.master][INFO] 2019-12-22 14:06:15,837: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43371/
[rosmaster.master][INFO] 2019-12-22 14:06:15,842: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38443/
[rosmaster.master][INFO] 2019-12-22 14:06:15,842: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38443/
[rosmaster.master][INFO] 2019-12-22 14:06:15,843: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38443/
[rosmaster.master][INFO] 2019-12-22 14:06:15,851: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46667/
[rosmaster.master][INFO] 2019-12-22 14:06:15,852: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46667/
[rosmaster.master][INFO] 2019-12-22 14:06:15,853: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46667/
[rosmaster.master][INFO] 2019-12-22 14:06:15,854: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
