[rosmaster.main][INFO] 2019-12-28 00:44:34,918: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-28 00:44:34,918: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-28 00:44:34,919: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-28 00:44:34,919: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-28 00:44:34,919: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-28 00:44:34,919: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-28 00:44:34,977: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:44:34,979: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41471] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:44:35,063: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:44:35,064: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:44:35,068: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38027/
[rosmaster.master][INFO] 2019-12-28 00:44:35,069: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38027/
[rosmaster.master][INFO] 2019-12-28 00:44:35,070: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38027/
[rosmaster.master][INFO] 2019-12-28 00:44:35,073: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38027/
[rosmaster.master][INFO] 2019-12-28 00:44:37,844: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39707] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:44:37,846: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:44:37,846: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:44:37,847: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:44:37,847: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:44:37,847: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:44:37,847: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:44:37,847: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
