[rosmaster.main][INFO] 2019-12-23 03:13:43,232: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-23 03:13:43,232: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-23 03:13:43,233: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-23 03:13:43,233: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-23 03:13:43,234: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-23 03:13:43,234: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-23 03:13:43,280: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:13:43,282: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35335] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:13:43,367: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:13:43,367: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:13:43,368: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:13:43,368: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:13:43,368: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:13:43,368: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:13:43,368: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:13:43,368: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:13:43,368: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:13:43,368: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:13:43,368: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:13:43,368: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:13:43,369: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35109/
[rosmaster.master][INFO] 2019-12-23 03:13:43,370: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35109/
[rosmaster.master][INFO] 2019-12-23 03:13:43,371: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35109/
[rosmaster.master][INFO] 2019-12-23 03:13:43,375: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35109/
[rosmaster.master][INFO] 2019-12-23 03:13:43,396: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33489/
[rosmaster.master][INFO] 2019-12-23 03:13:43,397: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33489/
[rosmaster.master][INFO] 2019-12-23 03:13:43,398: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33489/
[rosmaster.master][INFO] 2019-12-23 03:13:43,401: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39019/
[rosmaster.master][INFO] 2019-12-23 03:13:43,402: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39019/
[rosmaster.master][INFO] 2019-12-23 03:13:43,403: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39019/
[rosmaster.master][INFO] 2019-12-23 03:13:43,416: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44387/
[rosmaster.master][INFO] 2019-12-23 03:13:43,417: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44387/
[rosmaster.master][INFO] 2019-12-23 03:13:43,418: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44387/
[rosmaster.master][INFO] 2019-12-23 03:13:43,420: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39959/
[rosmaster.master][INFO] 2019-12-23 03:13:43,421: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39959/
[rosmaster.master][INFO] 2019-12-23 03:13:43,422: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39959/
[rosmaster.master][INFO] 2019-12-23 03:13:43,428: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39019/
[rosmaster.master][INFO] 2019-12-23 03:13:43,429: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39019/
[rosmaster.master][INFO] 2019-12-23 03:13:43,430: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39019/
[rosmaster.master][INFO] 2019-12-23 03:13:43,431: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:13:43,431: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:13:43,433: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35109/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33489/']
[rosmaster.master][INFO] 2019-12-23 03:13:43,434: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39019/
[rosmaster.master][INFO] 2019-12-23 03:13:43,435: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35109/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33489/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-23 03:13:43,436: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39019/
[rosmaster.master][INFO] 2019-12-23 03:13:43,436: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35109/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33489/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39019/']
[rosmaster.master][INFO] 2019-12-23 03:13:43,437: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35109/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33489/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39019/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-23 03:13:43,437: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39019/
[rosmaster.master][INFO] 2019-12-23 03:13:43,437: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35109/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33489/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39019/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44387/']
[rosmaster.master][INFO] 2019-12-23 03:13:43,439: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35109/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33489/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39019/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44387/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-23 03:13:43,439: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39019/
[rosmaster.master][INFO] 2019-12-23 03:13:43,439: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35109/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33489/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39019/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44387/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39959/']
[rosmaster.master][INFO] 2019-12-23 03:13:43,440: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35109/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33489/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39019/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44387/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39959/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-23 03:13:43,442: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:13:43,443: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:13:43,444: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:13:43,446: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33489/
[rosmaster.master][INFO] 2019-12-23 03:13:43,447: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:13:43,447: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33489/
[rosmaster.master][INFO] 2019-12-23 03:13:43,448: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:13:43,449: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33489/
[rosmaster.master][INFO] 2019-12-23 03:13:43,450: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:13:43,451: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33489/
