[rosmaster.main][INFO] 2019-12-24 18:43:09,906: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-24 18:43:09,906: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-24 18:43:09,907: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-24 18:43:09,907: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-24 18:43:09,907: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-24 18:43:09,907: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-24 18:43:09,972: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:09,976: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44793] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:10,071: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:10,072: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:10,072: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:10,072: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:10,072: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:10,072: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:10,072: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:10,072: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:10,072: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:10,072: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:10,072: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:10,072: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:10,074: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43177/
[rosmaster.master][INFO] 2019-12-24 18:43:10,074: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43177/
[rosmaster.master][INFO] 2019-12-24 18:43:10,075: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43177/
[rosmaster.master][INFO] 2019-12-24 18:43:10,078: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43177/
[rosmaster.master][INFO] 2019-12-24 18:43:10,100: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40385/
[rosmaster.master][INFO] 2019-12-24 18:43:10,101: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40385/
[rosmaster.master][INFO] 2019-12-24 18:43:10,102: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40385/
[rosmaster.master][INFO] 2019-12-24 18:43:10,107: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43177/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40385/']
[rosmaster.master][INFO] 2019-12-24 18:43:10,108: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39747/
[rosmaster.master][INFO] 2019-12-24 18:43:10,109: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43177/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40385/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-24 18:43:10,109: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43177/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40385/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39747/']
[rosmaster.master][INFO] 2019-12-24 18:43:10,110: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39747/
[rosmaster.master][INFO] 2019-12-24 18:43:10,110: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43177/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40385/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39747/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-24 18:43:10,112: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39747/
[rosmaster.master][INFO] 2019-12-24 18:43:10,113: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39563/
[rosmaster.master][INFO] 2019-12-24 18:43:10,114: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39563/
[rosmaster.master][INFO] 2019-12-24 18:43:10,115: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39563/
