[rosmaster.main][INFO] 2019-12-27 22:43:03,378: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 22:43:03,378: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 22:43:03,379: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 22:43:03,379: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 22:43:03,379: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 22:43:03,380: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 22:43:03,430: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:43:03,432: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39113] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:43:03,526: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:43:03,526: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:43:03,530: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40605/
[rosmaster.master][INFO] 2019-12-27 22:43:03,531: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40605/
[rosmaster.master][INFO] 2019-12-27 22:43:03,532: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40605/
[rosmaster.master][INFO] 2019-12-27 22:43:03,535: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40605/
[rosmaster.master][INFO] 2019-12-27 22:43:04,856: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39053] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:43:04,859: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:43:04,859: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:43:04,859: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:43:04,859: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:43:04,859: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:43:04,859: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:43:04,859: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:43:04,859: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:43:04,859: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:43:04,860: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:43:04,860: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:43:04,860: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:43:04,944: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39795/
[rosmaster.master][INFO] 2019-12-27 22:43:04,945: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39795/
[rosmaster.master][INFO] 2019-12-27 22:43:04,946: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39795/
[rosmaster.master][INFO] 2019-12-27 22:43:04,954: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39115/
[rosmaster.master][INFO] 2019-12-27 22:43:04,955: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39115/
[rosmaster.master][INFO] 2019-12-27 22:43:04,955: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39115/
[rosmaster.master][INFO] 2019-12-27 22:43:04,962: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34151/
[rosmaster.master][INFO] 2019-12-27 22:43:04,963: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34151/
[rosmaster.master][INFO] 2019-12-27 22:43:04,963: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34151/
[rosmaster.master][INFO] 2019-12-27 22:43:04,975: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42373/
[rosmaster.master][INFO] 2019-12-27 22:43:04,976: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42373/
[rosmaster.master][INFO] 2019-12-27 22:43:04,977: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42373/
[rosmaster.master][INFO] 2019-12-27 22:43:04,982: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40605/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39795/']
[rosmaster.master][INFO] 2019-12-27 22:43:04,984: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40605/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39795/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 22:43:04,984: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40605/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39795/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39115/']
[rosmaster.master][INFO] 2019-12-27 22:43:04,985: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39115/
[rosmaster.master][INFO] 2019-12-27 22:43:04,985: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40605/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39795/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39115/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 22:43:04,985: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40605/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39795/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39115/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34151/']
[rosmaster.master][INFO] 2019-12-27 22:43:04,986: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39795/
[rosmaster.master][INFO] 2019-12-27 22:43:04,986: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40605/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39795/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39115/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34151/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 22:43:04,987: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40605/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39795/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39115/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34151/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42373/']
[rosmaster.master][INFO] 2019-12-27 22:43:04,987: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39115/
[rosmaster.master][INFO] 2019-12-27 22:43:04,988: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39795/
[rosmaster.master][INFO] 2019-12-27 22:43:04,988: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40605/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39795/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39115/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34151/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42373/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 22:43:04,989: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39115/
