[rosmaster.main][INFO] 2019-12-31 09:02:20,595: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 09:02:20,595: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 09:02:20,595: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 09:02:20,596: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 09:02:20,596: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 09:02:20,596: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 09:02:20,659: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:02:20,662: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38057] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:02:20,760: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:02:20,760: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:02:20,760: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:02:20,761: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:02:20,761: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:02:20,761: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:02:20,761: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:02:20,761: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:02:20,761: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:02:20,761: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:02:20,761: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:02:20,761: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:02:20,766: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45681/
[rosmaster.master][INFO] 2019-12-31 09:02:20,766: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45681/
[rosmaster.master][INFO] 2019-12-31 09:02:20,768: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45681/
[rosmaster.master][INFO] 2019-12-31 09:02:20,773: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45681/
[rosmaster.master][INFO] 2019-12-31 09:02:20,786: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39021/
[rosmaster.master][INFO] 2019-12-31 09:02:20,787: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39021/
[rosmaster.master][INFO] 2019-12-31 09:02:20,788: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39021/
[rosmaster.master][INFO] 2019-12-31 09:02:20,795: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45681/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39021/']
[rosmaster.master][INFO] 2019-12-31 09:02:20,798: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45681/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39021/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:02:20,798: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36569/
[rosmaster.master][INFO] 2019-12-31 09:02:20,799: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36569/
[rosmaster.master][INFO] 2019-12-31 09:02:20,800: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36569/
[rosmaster.master][INFO] 2019-12-31 09:02:20,806: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:41517/
[rosmaster.master][INFO] 2019-12-31 09:02:20,807: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:41517/
[rosmaster.master][INFO] 2019-12-31 09:02:20,808: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:41517/
[rosmaster.master][INFO] 2019-12-31 09:02:20,815: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38693/
[rosmaster.master][INFO] 2019-12-31 09:02:20,816: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38693/
[rosmaster.master][INFO] 2019-12-31 09:02:20,817: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38693/
[rosmaster.master][INFO] 2019-12-31 09:02:20,828: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36295/
[rosmaster.master][INFO] 2019-12-31 09:02:20,829: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36295/
[rosmaster.master][INFO] 2019-12-31 09:02:20,830: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36295/
