[rosmaster.main][INFO] 2020-01-31 14:16:24,367: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-31 14:16:24,367: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-31 14:16:24,368: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-31 14:16:24,368: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-31 14:16:24,368: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-31 14:16:24,368: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-31 14:16:24,393: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 14:16:24,394: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34645] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 14:16:24,481: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 14:16:24,481: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 14:16:24,481: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 14:16:24,481: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 14:16:24,481: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 14:16:24,481: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 14:16:24,481: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 14:16:24,481: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 14:16:24,482: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 14:16:24,482: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 14:16:24,482: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 14:16:24,482: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 14:16:25,320: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39355/
[rosmaster.master][INFO] 2020-01-31 14:16:25,323: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39355/
[rosmaster.master][INFO] 2020-01-31 14:16:25,328: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39355/
[rosmaster.master][INFO] 2020-01-31 14:16:25,339: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39355/
[rosmaster.master][INFO] 2020-01-31 14:16:25,696: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45585/
[rosmaster.master][INFO] 2020-01-31 14:16:25,699: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45585/
[rosmaster.master][INFO] 2020-01-31 14:16:25,702: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45585/
[rosmaster.master][INFO] 2020-01-31 14:16:25,763: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39379/
[rosmaster.master][INFO] 2020-01-31 14:16:25,764: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39379/
