[rosmaster.main][INFO] 2019-12-27 22:21:40,905: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 22:21:40,905: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 22:21:40,906: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 22:21:40,906: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 22:21:40,906: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 22:21:40,907: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 22:21:40,958: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:21:40,959: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42143] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:21:41,043: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:21:41,043: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:21:41,049: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43737/
[rosmaster.master][INFO] 2019-12-27 22:21:41,050: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43737/
[rosmaster.master][INFO] 2019-12-27 22:21:41,051: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43737/
[rosmaster.master][INFO] 2019-12-27 22:21:41,054: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43737/
[rosmaster.master][INFO] 2019-12-27 22:21:42,404: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38557] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:21:42,406: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:21:42,406: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:21:42,406: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:21:42,406: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:21:42,406: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:21:42,407: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:21:42,407: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:21:42,407: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:21:42,407: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:21:42,407: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:21:42,407: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:21:42,407: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:21:42,490: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36901/
[rosmaster.master][INFO] 2019-12-27 22:21:42,491: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36901/
[rosmaster.master][INFO] 2019-12-27 22:21:42,492: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36901/
[rosmaster.master][INFO] 2019-12-27 22:21:42,498: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39359/
[rosmaster.master][INFO] 2019-12-27 22:21:42,499: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39359/
[rosmaster.master][INFO] 2019-12-27 22:21:42,501: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39359/
[rosmaster.master][INFO] 2019-12-27 22:21:42,504: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33587/
[rosmaster.master][INFO] 2019-12-27 22:21:42,505: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33587/
[rosmaster.master][INFO] 2019-12-27 22:21:42,505: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33587/
[rosmaster.master][INFO] 2019-12-27 22:21:42,509: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43737/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36901/']
[rosmaster.master][INFO] 2019-12-27 22:21:42,511: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43737/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36901/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 22:21:42,511: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43737/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36901/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39359/']
[rosmaster.master][INFO] 2019-12-27 22:21:42,512: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43737/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36901/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39359/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 22:21:42,512: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43737/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36901/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39359/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33587/']
[rosmaster.master][INFO] 2019-12-27 22:21:42,512: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43737/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36901/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39359/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33587/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 22:21:42,517: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39799/
[rosmaster.master][INFO] 2019-12-27 22:21:42,518: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39799/
[rosmaster.master][INFO] 2019-12-27 22:21:42,518: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39799/
[rosmaster.master][INFO] 2019-12-27 22:21:42,528: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36901/
[rosmaster.master][INFO] 2019-12-27 22:21:42,529: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36901/
[rosmaster.master][INFO] 2019-12-27 22:21:42,530: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36901/
[rosmaster.master][INFO] 2019-12-27 22:21:42,531: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39359/
[rosmaster.master][INFO] 2019-12-27 22:21:42,532: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36901/
[rosmaster.master][INFO] 2019-12-27 22:21:42,533: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39359/
[rosmaster.master][INFO] 2019-12-27 22:21:42,536: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39359/
[rosmaster.master][INFO] 2019-12-27 22:21:42,539: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:21:42,539: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:21:42,541: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:21:42,541: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:21:42,543: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:21:42,544: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39359/
[rosmaster.master][INFO] 2019-12-27 22:21:42,545: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:21:42,546: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39359/
[rosmaster.master][INFO] 2019-12-27 22:21:42,546: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:21:42,548: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39359/
[rosmaster.master][INFO] 2019-12-27 22:21:42,548: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:21:42,549: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39359/
[rosmaster.master][INFO] 2019-12-27 22:21:42,550: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36901/
[rosmaster.master][INFO] 2019-12-27 22:21:42,552: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36901/
