[rosmaster.main][INFO] 2020-02-27 07:53:35,436: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 07:53:35,436: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 07:53:35,437: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 07:53:35,437: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 07:53:35,437: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 07:53:35,437: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 07:53:35,494: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:53:35,498: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45903] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:53:35,599: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:53:35,600: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:53:35,604: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40417/
[rosmaster.master][INFO] 2020-02-27 07:53:35,605: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40417/
[rosmaster.master][INFO] 2020-02-27 07:53:35,606: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40417/
[rosmaster.master][INFO] 2020-02-27 07:53:35,609: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40417/
[rosmaster.master][INFO] 2020-02-27 07:53:38,112: +PUB [/rosout] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:53:38,121: +SERVICE [/monitor/get_loggers] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:53:38,124: +SERVICE [/monitor/set_logger_level] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:53:38,144: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40417/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/']
[rosmaster.master][INFO] 2020-02-27 07:53:38,149: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40417/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 07:53:38,187: +SUB [/whycon/poses] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:53:38,188: +SUB [/decision_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:53:38,190: +SUB [/detection_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:53:38,191: +SUB [/arm_status] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:53:38,192: +PUB [/stats_sr] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:53:38,193: +PUB [/serviced_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:53:38,194: +PUB [/led_control_topic] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:53:38,194: +PUB [/base_cell_int_topic] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:54:07,658: -SUB [/whycon/poses] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:54:07,658: -SUB [/detection_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:54:07,658: -SUB [/decision_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:54:07,658: -SUB [/arm_status] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:54:07,658: -PUB [/serviced_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:54:07,658: -PUB [/rosout] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:54:07,658: -PUB [/stats_sr] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:54:07,658: -PUB [/led_control_topic] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:54:07,658: -PUB [/base_cell_int_topic] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:34181/
[rosmaster.master][INFO] 2020-02-27 07:54:07,658: -SERVICE [/monitor/set_logger_level] /monitor rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:43531
[rosmaster.master][INFO] 2020-02-27 07:54:07,659: -SERVICE [/monitor/get_loggers] /monitor rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:43531
[rosmaster.master][INFO] 2020-02-27 07:54:07,723: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40417/ []
[rosmaster.master][INFO] 2020-02-27 07:54:07,726: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40417/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 07:54:24,976: -PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40417/
[rosmaster.master][INFO] 2020-02-27 07:54:24,976: -SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40417/
[rosmaster.master][INFO] 2020-02-27 07:54:24,977: -SERVICE [/rosout/get_loggers] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:38357
[rosmaster.master][INFO] 2020-02-27 07:54:24,977: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:38357
[rosmaster.main][INFO] 2020-02-27 07:54:25,079: keyboard interrupt, will exit
[rosmaster.main][INFO] 2020-02-27 07:54:25,079: stopping master...
[rospy.core][INFO] 2020-02-27 07:54:25,080: signal_shutdown [atexit]
