[rosmaster.main][INFO] 2019-12-20 01:58:50,113: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-20 01:58:50,113: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-20 01:58:50,114: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-20 01:58:50,114: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-20 01:58:50,114: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-20 01:58:50,114: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-20 01:58:50,178: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:58:50,182: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44387] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:58:50,276: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:58:50,276: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:58:50,277: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:58:50,277: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:58:50,277: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:58:50,277: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:58:50,277: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:58:50,277: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:58:50,279: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46821/
[rosmaster.master][INFO] 2019-12-20 01:58:50,279: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46821/
