[rosmaster.main][INFO] 2019-12-18 01:11:06,373: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-18 01:11:06,373: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-18 01:11:06,374: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-18 01:11:06,374: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-18 01:11:06,374: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-18 01:11:06,374: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-18 01:11:06,437: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:11:06,440: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43383] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:11:06,454: +PUB [/rosout] /cameracalibrator http://itachi-HP-Pavilion-Laptop-15-cc1xx:45141/
[rosmaster.master][INFO] 2019-12-18 01:11:06,457: +SERVICE [/cameracalibrator/get_loggers] /cameracalibrator http://itachi-HP-Pavilion-Laptop-15-cc1xx:45141/
[rosmaster.master][INFO] 2019-12-18 01:11:06,458: +SERVICE [/cameracalibrator/set_logger_level] /cameracalibrator http://itachi-HP-Pavilion-Laptop-15-cc1xx:45141/
[rosmaster.master][INFO] 2019-12-18 01:11:06,523: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:11:06,523: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:11:06,524: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:11:06,524: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:11:06,524: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:11:06,524: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:11:06,524: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:11:06,524: +PARAM [/usb_cam/image_height] by /roslaunch
