[rosmaster.main][INFO] 2020-02-05 21:27:11,986: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-05 21:27:11,987: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-05 21:27:11,987: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-05 21:27:11,988: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-05 21:27:11,988: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-05 21:27:11,988: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-05 21:27:12,039: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:27:12,041: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__36787] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:27:12,123: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:27:12,124: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:27:12,124: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:27:12,124: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:27:12,124: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:27:12,124: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:27:12,124: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:27:12,124: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:27:12,124: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:27:12,124: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:27:12,124: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:27:12,124: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:27:12,126: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36979/
[rosmaster.master][INFO] 2020-02-05 21:27:12,126: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36979/
