[rosmaster.main][INFO] 2019-12-24 18:43:31,158: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-24 18:43:31,158: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-24 18:43:31,159: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-24 18:43:31,159: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-24 18:43:31,159: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-24 18:43:31,159: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-24 18:43:31,223: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:31,225: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38519] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:31,307: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:31,307: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:31,307: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:31,307: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:31,307: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:31,308: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:31,308: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:31,308: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:31,308: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:31,308: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:31,308: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:31,308: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:43:31,309: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46127/
[rosmaster.master][INFO] 2019-12-24 18:43:31,310: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46127/
[rosmaster.master][INFO] 2019-12-24 18:43:31,311: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46127/
[rosmaster.master][INFO] 2019-12-24 18:43:31,313: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46127/
[rosmaster.master][INFO] 2019-12-24 18:43:31,333: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43771/
[rosmaster.master][INFO] 2019-12-24 18:43:31,334: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43771/
[rosmaster.master][INFO] 2019-12-24 18:43:31,335: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43771/
[rosmaster.master][INFO] 2019-12-24 18:43:31,338: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-24 18:43:31,339: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-24 18:43:31,339: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-24 18:43:31,353: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33803/
[rosmaster.master][INFO] 2019-12-24 18:43:31,354: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33803/
[rosmaster.master][INFO] 2019-12-24 18:43:31,355: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33803/
[rosmaster.master][INFO] 2019-12-24 18:43:31,358: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39021/
[rosmaster.master][INFO] 2019-12-24 18:43:31,359: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46127/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43771/']
[rosmaster.master][INFO] 2019-12-24 18:43:31,360: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39021/
[rosmaster.master][INFO] 2019-12-24 18:43:31,361: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46127/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43771/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-24 18:43:31,361: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46127/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43771/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/']
[rosmaster.master][INFO] 2019-12-24 18:43:31,362: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39021/
[rosmaster.master][INFO] 2019-12-24 18:43:31,362: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46127/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43771/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-24 18:43:31,363: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46127/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43771/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33803/']
[rosmaster.master][INFO] 2019-12-24 18:43:31,364: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46127/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43771/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33803/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-24 18:43:31,364: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46127/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43771/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33803/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39021/']
[rosmaster.master][INFO] 2019-12-24 18:43:31,366: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46127/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43771/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33803/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39021/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-24 18:43:31,385: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-24 18:43:31,386: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-24 18:43:31,387: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-24 18:43:31,388: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-24 18:43:31,388: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43771/
[rosmaster.master][INFO] 2019-12-24 18:43:31,389: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-24 18:43:31,390: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43771/
[rosmaster.master][INFO] 2019-12-24 18:43:31,391: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43771/
[rosmaster.master][INFO] 2019-12-24 18:43:31,392: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-24 18:43:31,392: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43771/
[rosmaster.master][INFO] 2019-12-24 18:43:31,393: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-24 18:43:31,394: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-24 18:43:31,395: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45317/
[rosmaster.master][INFO] 2019-12-24 18:43:31,397: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-24 18:43:31,399: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-24 18:43:31,399: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-24 18:43:31,401: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-24 18:43:31,402: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-24 18:43:31,403: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-24 18:43:31,403: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-24 18:43:31,404: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-24 18:43:31,405: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-24 18:43:31,406: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-24 18:43:31,407: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-24 18:43:31,408: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-24 18:43:31,409: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43771/
