[rosmaster.main][INFO] 2020-02-26 18:32:03,882: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-26 18:32:03,882: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-26 18:32:03,882: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-26 18:32:03,883: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-26 18:32:03,883: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-26 18:32:03,883: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-26 18:32:03,946: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 18:32:03,950: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42589] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 18:32:04,034: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 18:32:04,034: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 18:32:04,039: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39571/
[rosmaster.master][INFO] 2020-02-26 18:32:04,039: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39571/
[rosmaster.master][INFO] 2020-02-26 18:32:04,040: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39571/
[rosmaster.master][INFO] 2020-02-26 18:32:04,043: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39571/
[rosmaster.master][INFO] 2020-02-26 18:36:50,762: -PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39571/
[rosmaster.master][INFO] 2020-02-26 18:36:50,763: -SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39571/
[rosmaster.master][INFO] 2020-02-26 18:36:50,763: -SERVICE [/rosout/get_loggers] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:52917
[rosmaster.master][INFO] 2020-02-26 18:36:50,764: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:52917
[rosmaster.main][INFO] 2020-02-26 18:36:50,871: keyboard interrupt, will exit
[rosmaster.main][INFO] 2020-02-26 18:36:50,871: stopping master...
[rospy.core][INFO] 2020-02-26 18:36:50,872: signal_shutdown [atexit]
