[rosmaster.main][INFO] 2020-02-03 22:48:26,927: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-03 22:48:26,927: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-03 22:48:26,928: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-03 22:48:26,928: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-03 22:48:26,928: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-03 22:48:26,928: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-03 22:48:26,988: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:48:26,991: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39491] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:48:27,088: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:48:27,089: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:48:27,089: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:48:27,089: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:48:27,089: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:48:27,089: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:48:27,089: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:48:27,089: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:48:27,089: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:48:27,089: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:48:27,089: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:48:27,089: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:48:27,091: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35413/
[rosmaster.master][INFO] 2020-02-03 22:48:27,092: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35413/
[rosmaster.master][INFO] 2020-02-03 22:48:27,093: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35413/
[rosmaster.master][INFO] 2020-02-03 22:48:27,096: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35413/
[rosmaster.master][INFO] 2020-02-03 22:48:27,115: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39501/
[rosmaster.master][INFO] 2020-02-03 22:48:27,116: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39501/
[rosmaster.master][INFO] 2020-02-03 22:48:27,117: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39501/
[rosmaster.master][INFO] 2020-02-03 22:48:27,122: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46797/
[rosmaster.master][INFO] 2020-02-03 22:48:27,123: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46797/
[rosmaster.master][INFO] 2020-02-03 22:48:27,124: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46797/
[rosmaster.master][INFO] 2020-02-03 22:48:27,127: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35413/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39501/']
[rosmaster.master][INFO] 2020-02-03 22:48:27,129: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35413/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39501/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-03 22:48:27,129: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35413/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39501/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46797/']
[rosmaster.master][INFO] 2020-02-03 22:48:27,130: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35413/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39501/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46797/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-03 22:48:27,135: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34589/
[rosmaster.master][INFO] 2020-02-03 22:48:27,136: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34589/
[rosmaster.master][INFO] 2020-02-03 22:48:27,137: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34589/
[rosmaster.master][INFO] 2020-02-03 22:48:27,139: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41317/
[rosmaster.master][INFO] 2020-02-03 22:48:27,140: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41317/
