[rosmaster.main][INFO] 2020-02-02 22:49:40,916: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-02 22:49:40,916: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-02 22:49:40,917: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-02 22:49:40,917: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-02 22:49:40,917: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-02 22:49:40,917: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-02 22:49:40,985: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:49:40,988: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42327] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:49:41,084: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:49:41,084: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:49:41,084: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:49:41,084: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:49:41,084: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:49:41,084: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:49:41,085: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:49:41,085: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:49:41,085: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:49:41,085: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:49:41,085: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:49:41,085: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:49:41,086: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37929/
[rosmaster.master][INFO] 2020-02-02 22:49:41,087: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37929/
[rosmaster.master][INFO] 2020-02-02 22:49:41,088: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37929/
[rosmaster.master][INFO] 2020-02-02 22:49:41,092: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37929/
[rosmaster.master][INFO] 2020-02-02 22:49:41,110: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41433/
[rosmaster.master][INFO] 2020-02-02 22:49:41,111: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41433/
[rosmaster.master][INFO] 2020-02-02 22:49:41,113: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41433/
[rosmaster.master][INFO] 2020-02-02 22:49:41,115: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38957/
[rosmaster.master][INFO] 2020-02-02 22:49:41,116: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38957/
[rosmaster.master][INFO] 2020-02-02 22:49:41,116: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38957/
[rosmaster.master][INFO] 2020-02-02 22:49:41,117: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37929/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41433/']
[rosmaster.master][INFO] 2020-02-02 22:49:41,119: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37929/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41433/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-02 22:49:41,119: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37929/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41433/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38957/']
[rosmaster.master][INFO] 2020-02-02 22:49:41,120: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37929/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41433/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38957/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-02 22:49:41,130: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42189/
[rosmaster.master][INFO] 2020-02-02 22:49:41,131: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42189/
[rosmaster.master][INFO] 2020-02-02 22:49:41,132: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42189/
