[rosmaster.main][INFO] 2019-12-28 00:16:32,908: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-28 00:16:32,908: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-28 00:16:32,909: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-28 00:16:32,910: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-28 00:16:32,910: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-28 00:16:32,910: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-28 00:16:32,958: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:16:32,959: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33039] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:16:33,048: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:16:33,048: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:16:33,053: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43925/
[rosmaster.master][INFO] 2019-12-28 00:16:33,054: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43925/
[rosmaster.master][INFO] 2019-12-28 00:16:33,056: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43925/
[rosmaster.master][INFO] 2019-12-28 00:16:33,059: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43925/
[rosmaster.master][INFO] 2019-12-28 00:16:35,893: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44911] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:16:35,896: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:16:35,896: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:16:35,896: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:16:35,896: +PARAM [/whycon/targets] by /roslaunch
