[rosmaster.main][INFO] 2019-12-27 22:00:33,986: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 22:00:33,986: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 22:00:33,986: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 22:00:33,987: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 22:00:33,987: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 22:00:33,987: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 22:00:34,041: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:00:34,042: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38507] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:00:34,135: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:00:34,135: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:00:34,194: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45547/
[rosmaster.master][INFO] 2019-12-27 22:00:34,195: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45547/
[rosmaster.master][INFO] 2019-12-27 22:00:34,197: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45547/
[rosmaster.master][INFO] 2019-12-27 22:00:34,202: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45547/
[rosmaster.master][INFO] 2019-12-27 22:00:36,225: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38461] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:00:36,227: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:00:36,228: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:00:36,228: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:00:36,228: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:00:36,228: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:00:36,228: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:00:36,228: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:00:36,228: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:00:36,228: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:00:36,228: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:00:36,228: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:00:36,228: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:00:36,402: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44087/
[rosmaster.master][INFO] 2019-12-27 22:00:36,402: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44087/
