[rosmaster.main][INFO] 2019-12-26 12:43:23,513: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-26 12:43:23,513: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-26 12:43:23,514: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-26 12:43:23,514: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-26 12:43:23,514: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-26 12:43:23,515: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-26 12:43:23,576: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 12:43:23,578: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42751] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 12:43:23,679: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 12:43:23,679: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 12:43:23,684: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34963/
[rosmaster.master][INFO] 2019-12-26 12:43:23,685: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34963/
[rosmaster.master][INFO] 2019-12-26 12:43:23,686: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34963/
[rosmaster.master][INFO] 2019-12-26 12:43:23,689: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34963/
[rosmaster.master][INFO] 2019-12-26 12:43:32,147: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37309] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 12:43:32,149: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 12:43:32,150: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 12:43:32,150: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 12:43:32,150: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 12:43:32,150: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 12:43:32,150: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 12:43:32,150: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 12:43:32,150: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 12:43:32,150: +PARAM [/whycon/outer_diameter] by /roslaunch
