[rosmaster.main][INFO] 2019-12-19 23:35:56,689: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-19 23:35:56,689: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-19 23:35:56,690: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-19 23:35:56,690: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-19 23:35:56,690: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-19 23:35:56,690: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-19 23:35:56,754: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-19 23:35:56,758: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42475] by /roslaunch
[rosmaster.master][INFO] 2019-12-19 23:35:56,854: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-19 23:35:56,854: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-19 23:35:56,854: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-19 23:35:56,854: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-19 23:35:56,854: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-19 23:35:56,854: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-19 23:35:56,854: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-19 23:35:56,854: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-19 23:35:56,856: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39705/
[rosmaster.master][INFO] 2019-12-19 23:35:56,857: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39705/
[rosmaster.master][INFO] 2019-12-19 23:35:56,858: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39705/
[rosmaster.master][INFO] 2019-12-19 23:35:56,861: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39705/
[rosmaster.master][INFO] 2019-12-19 23:35:56,876: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:56,877: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:56,878: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:56,885: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38159/
[rosmaster.master][INFO] 2019-12-19 23:35:56,885: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38159/
[rosmaster.master][INFO] 2019-12-19 23:35:56,886: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38159/
[rosmaster.master][INFO] 2019-12-19 23:35:56,889: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39705/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/']
[rosmaster.master][INFO] 2019-12-19 23:35:56,891: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39705/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-19 23:35:56,891: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39705/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38159/']
[rosmaster.master][INFO] 2019-12-19 23:35:56,891: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39705/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38159/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-19 23:35:56,915: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:56,916: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:56,917: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:56,917: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:56,920: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,921: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,921: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,922: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,922: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,923: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,924: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:56,925: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:56,926: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:56,926: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:56,929: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,929: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,930: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,930: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,931: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,932: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,933: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:56,934: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:56,935: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:56,935: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:56,936: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:56,938: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,939: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,939: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,940: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,940: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,941: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,941: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,942: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-19 23:35:56,942: +PUB [/usb_cam/camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:56,955: +SERVICE [/usb_cam/set_camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:56,955: +SERVICE [/usb_cam/start_capture] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:56,956: +SERVICE [/usb_cam/stop_capture] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:35:57,024: +SUB [/usb_cam/image_raw] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38159/
[rosmaster.master][INFO] 2019-12-19 23:35:57,025: +PUB [/usb_cam_display/image_view/output] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38159/
[rosmaster.master][INFO] 2019-12-19 23:35:57,028: +SERVICE [/usb_cam_display/image_view/set_parameters] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38159/
[rosmaster.master][INFO] 2019-12-19 23:35:57,029: +PUB [/usb_cam_display/image_view/parameter_descriptions] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38159/
[rosmaster.master][INFO] 2019-12-19 23:35:57,030: +PUB [/usb_cam_display/image_view/parameter_updates] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38159/
[rosmaster.master][INFO] 2019-12-19 23:35:57,032: +PARAM [/usb_cam_display/image_view/do_dynamic_scaling] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-19 23:35:57,032: +PARAM [/usb_cam_display/image_view/colormap] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-19 23:35:57,033: +PARAM [/usb_cam_display/image_view/min_image_value] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-19 23:35:57,033: +PARAM [/usb_cam_display/image_view/max_image_value] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-19 23:35:57,034: +PARAM [/usb_cam_display/image_view/do_dynamic_scaling] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-19 23:35:57,034: +PARAM [/usb_cam_display/image_view/colormap] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-19 23:35:57,035: +PARAM [/usb_cam_display/image_view/min_image_value] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-19 23:35:57,035: +PARAM [/usb_cam_display/image_view/max_image_value] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-19 23:44:27,932: -PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38159/
[rosmaster.master][INFO] 2019-12-19 23:44:27,933: -PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:44:27,933: -PUB [/usb_cam_display/image_view/output] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38159/
[rosmaster.master][INFO] 2019-12-19 23:44:27,934: -PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:44:27,934: -PUB [/usb_cam_display/image_view/parameter_descriptions] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38159/
[rosmaster.master][INFO] 2019-12-19 23:44:27,935: -PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:44:27,936: -PUB [/usb_cam_display/image_view/parameter_updates] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38159/
[rosmaster.master][INFO] 2019-12-19 23:44:27,936: -PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:44:27,937: -PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:44:27,937: -SUB [/usb_cam/image_raw] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38159/
[rosmaster.master][INFO] 2019-12-19 23:44:27,937: -PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
[rosmaster.master][INFO] 2019-12-19 23:44:27,938: -SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:50177
[rosmaster.master][INFO] 2019-12-19 23:44:27,939: -PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33511/
