[rosmaster.main][INFO] 2019-12-31 09:38:32,552: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 09:38:32,552: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 09:38:32,553: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 09:38:32,554: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 09:38:32,554: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 09:38:32,554: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 09:38:32,614: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:38:32,616: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37229] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:38:32,715: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:38:32,715: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:38:32,715: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:38:32,715: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:38:32,715: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:38:32,715: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:38:32,715: +PARAM [/usb_cam/framerate] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:38:32,715: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:38:32,715: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:38:32,715: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:38:32,715: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:38:32,715: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:38:32,716: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:38:32,717: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33357/
[rosmaster.master][INFO] 2019-12-31 09:38:32,718: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33357/
[rosmaster.master][INFO] 2019-12-31 09:38:32,719: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33357/
[rosmaster.master][INFO] 2019-12-31 09:38:32,722: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33357/
[rosmaster.master][INFO] 2019-12-31 09:38:32,743: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/
[rosmaster.master][INFO] 2019-12-31 09:38:32,744: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/
[rosmaster.master][INFO] 2019-12-31 09:38:32,745: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/
[rosmaster.master][INFO] 2019-12-31 09:38:32,750: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/
[rosmaster.master][INFO] 2019-12-31 09:38:32,752: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/
[rosmaster.master][INFO] 2019-12-31 09:38:32,752: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38843/
[rosmaster.master][INFO] 2019-12-31 09:38:32,753: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/
[rosmaster.master][INFO] 2019-12-31 09:38:32,753: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33357/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/']
[rosmaster.master][INFO] 2019-12-31 09:38:32,754: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38843/
[rosmaster.master][INFO] 2019-12-31 09:38:32,756: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33357/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:38:32,756: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38843/
[rosmaster.master][INFO] 2019-12-31 09:38:32,756: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33357/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/']
[rosmaster.master][INFO] 2019-12-31 09:38:32,758: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33357/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:38:32,758: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33357/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38843/']
[rosmaster.master][INFO] 2019-12-31 09:38:32,759: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33357/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38843/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:38:32,761: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33915/
[rosmaster.master][INFO] 2019-12-31 09:38:32,762: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33915/
[rosmaster.master][INFO] 2019-12-31 09:38:32,762: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33915/
[rosmaster.master][INFO] 2019-12-31 09:38:32,783: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/
[rosmaster.master][INFO] 2019-12-31 09:38:32,784: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/
[rosmaster.master][INFO] 2019-12-31 09:38:32,784: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/
[rosmaster.master][INFO] 2019-12-31 09:38:32,785: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/
[rosmaster.master][INFO] 2019-12-31 09:38:32,787: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,787: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,788: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,789: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,789: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,790: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,791: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/
[rosmaster.master][INFO] 2019-12-31 09:38:32,792: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/
[rosmaster.master][INFO] 2019-12-31 09:38:32,794: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/
[rosmaster.master][INFO] 2019-12-31 09:38:32,794: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/
[rosmaster.master][INFO] 2019-12-31 09:38:32,795: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/
[rosmaster.master][INFO] 2019-12-31 09:38:32,796: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/
[rosmaster.master][INFO] 2019-12-31 09:38:32,797: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/
[rosmaster.master][INFO] 2019-12-31 09:38:32,800: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,802: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,803: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,805: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,806: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/
[rosmaster.master][INFO] 2019-12-31 09:38:32,807: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,808: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/
[rosmaster.master][INFO] 2019-12-31 09:38:32,809: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,810: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/
[rosmaster.master][INFO] 2019-12-31 09:38:32,811: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,811: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/
[rosmaster.master][INFO] 2019-12-31 09:38:32,812: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,813: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38843/
[rosmaster.master][INFO] 2019-12-31 09:38:32,814: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/
[rosmaster.master][INFO] 2019-12-31 09:38:32,816: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/
[rosmaster.master][INFO] 2019-12-31 09:38:32,817: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,817: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/
[rosmaster.master][INFO] 2019-12-31 09:38:32,819: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,819: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/
[rosmaster.master][INFO] 2019-12-31 09:38:32,820: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,821: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/
[rosmaster.master][INFO] 2019-12-31 09:38:32,822: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,823: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,825: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,827: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38843/
[rosmaster.master][INFO] 2019-12-31 09:38:32,828: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/
[rosmaster.master][INFO] 2019-12-31 09:38:32,829: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,830: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/
[rosmaster.master][INFO] 2019-12-31 09:38:32,831: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,831: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/
[rosmaster.master][INFO] 2019-12-31 09:38:32,833: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,834: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/
[rosmaster.master][INFO] 2019-12-31 09:38:32,835: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,835: +SUB [/usb_cam/camera_info] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38843/
[rosmaster.master][INFO] 2019-12-31 09:38:32,837: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,838: +PUB [/whycon/image_out] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38843/
[rosmaster.master][INFO] 2019-12-31 09:38:32,839: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,840: +PUB [/whycon/poses] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38843/
[rosmaster.master][INFO] 2019-12-31 09:38:32,841: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,842: +PUB [/whycon/context] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38843/
[rosmaster.master][INFO] 2019-12-31 09:38:32,843: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,844: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:38:32,845: +PUB [/whycon/projection] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38843/
[rosmaster.master][INFO] 2019-12-31 09:38:32,845: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,846: +PUB [/usb_cam/camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/
[rosmaster.master][INFO] 2019-12-31 09:38:32,846: +SERVICE [/whycon/reset] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38843/
[rosmaster.master][INFO] 2019-12-31 09:38:32,847: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,848: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,849: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,850: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,852: +PUB [/usb_cam/image_mono] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/
[rosmaster.master][INFO] 2019-12-31 09:38:32,853: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33357/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38843/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33915/']
[rosmaster.master][INFO] 2019-12-31 09:38:32,853: publisherUpdate[/usb_cam/camera_info] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38843/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/']
[rosmaster.master][INFO] 2019-12-31 09:38:32,854: +PUB [/usb_cam/image_mono/theora] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/
[rosmaster.master][INFO] 2019-12-31 09:38:32,854: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33357/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38843/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33915/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:38:32,856: publisherUpdate[/usb_cam/camera_info] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38843/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:38:32,856: +SERVICE [/usb_cam/image_mono/theora/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/
[rosmaster.master][INFO] 2019-12-31 09:38:32,858: +PUB [/usb_cam/image_mono/theora/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/
[rosmaster.master][INFO] 2019-12-31 09:38:32,858: +PUB [/usb_cam/image_mono/theora/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45695/
[rosmaster.master][INFO] 2019-12-31 09:38:32,863: +PARAM [/usb_cam/image_mono/theora/optimize_for] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,864: +PARAM [/usb_cam/image_mono/theora/target_bitrate] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,865: +PARAM [/usb_cam/image_mono/theora/quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,867: +PARAM [/usb_cam/image_mono/theora/keyframe_frequency] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,868: +PARAM [/usb_cam/image_mono/theora/optimize_for] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,869: +PARAM [/usb_cam/image_mono/theora/target_bitrate] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,870: +PARAM [/usb_cam/image_mono/theora/quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:38:32,870: +SERVICE [/usb_cam/set_camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34407/
[rosmaster.master][INFO] 2019-12-31 09:38:32,871: +PARAM [/usb_cam/image_mono/theora/keyframe_frequency] by /usb_cam/image_proc
