[rosmaster.main][INFO] 2020-02-27 16:58:05,852: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 16:58:05,852: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 16:58:05,854: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 16:58:05,855: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 16:58:05,855: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 16:58:05,856: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 16:58:05,894: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:58:05,895: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38127] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:58:05,961: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:58:05,961: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:58:05,961: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:58:05,961: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:58:05,961: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:58:05,962: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:58:05,962: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:58:05,962: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:58:05,962: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:58:05,962: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:58:05,962: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:58:05,962: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:58:05,963: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:58:05,963: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:58:05,963: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37127/
[rosmaster.master][INFO] 2020-02-27 16:58:05,964: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37127/
[rosmaster.master][INFO] 2020-02-27 16:58:05,965: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37127/
[rosmaster.master][INFO] 2020-02-27 16:58:05,968: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37127/
[rosmaster.master][INFO] 2020-02-27 16:58:05,996: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37711/
[rosmaster.master][INFO] 2020-02-27 16:58:05,997: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37711/
[rosmaster.master][INFO] 2020-02-27 16:58:05,997: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37711/
[rosmaster.master][INFO] 2020-02-27 16:58:06,002: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34221/
[rosmaster.master][INFO] 2020-02-27 16:58:06,003: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34221/
[rosmaster.master][INFO] 2020-02-27 16:58:06,003: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34221/
[rosmaster.master][INFO] 2020-02-27 16:58:06,019: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42875/
[rosmaster.master][INFO] 2020-02-27 16:58:06,020: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42875/
[rosmaster.master][INFO] 2020-02-27 16:58:06,022: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42875/
[rosmaster.master][INFO] 2020-02-27 16:58:06,030: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39167/
[rosmaster.master][INFO] 2020-02-27 16:58:06,031: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39167/
[rosmaster.master][INFO] 2020-02-27 16:58:06,032: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39167/
[rosmaster.master][INFO] 2020-02-27 16:58:06,038: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37711/
[rosmaster.master][INFO] 2020-02-27 16:58:06,039: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37711/
[rosmaster.master][INFO] 2020-02-27 16:58:06,040: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34221/
[rosmaster.master][INFO] 2020-02-27 16:58:06,041: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37711/
[rosmaster.master][INFO] 2020-02-27 16:58:06,041: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34221/
[rosmaster.master][INFO] 2020-02-27 16:58:06,042: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37711/
[rosmaster.master][INFO] 2020-02-27 16:58:06,043: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34221/
[rosmaster.master][INFO] 2020-02-27 16:58:06,045: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 16:58:06,046: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 16:58:06,047: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 16:58:06,048: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 16:58:06,049: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 16:58:06,050: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34221/
[rosmaster.master][INFO] 2020-02-27 16:58:06,050: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 16:58:06,051: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34221/
[rosmaster.master][INFO] 2020-02-27 16:58:06,052: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 16:58:06,052: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34221/
[rosmaster.master][INFO] 2020-02-27 16:58:06,053: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37127/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37711/']
[rosmaster.master][INFO] 2020-02-27 16:58:06,053: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 16:58:06,054: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34221/
[rosmaster.master][INFO] 2020-02-27 16:58:06,055: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37127/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37711/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 16:58:06,056: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37127/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37711/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34221/']
[rosmaster.master][INFO] 2020-02-27 16:58:06,056: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37711/
[rosmaster.master][INFO] 2020-02-27 16:58:06,057: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37127/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37711/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34221/']: sec=0.00, result=[1, '', 0]
