[rosmaster.main][INFO] 2020-01-31 20:36:15,768: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-31 20:36:15,768: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-31 20:36:15,769: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-31 20:36:15,769: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-31 20:36:15,769: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-31 20:36:15,769: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-31 20:36:15,822: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 20:36:15,823: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38107] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 20:36:15,917: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 20:36:15,917: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 20:36:15,917: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 20:36:15,917: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 20:36:15,917: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 20:36:15,917: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 20:36:15,917: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 20:36:15,917: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 20:36:15,917: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 20:36:15,917: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 20:36:15,918: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 20:36:15,918: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 20:36:15,919: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38257/
[rosmaster.master][INFO] 2020-01-31 20:36:15,920: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38257/
