[rosmaster.main][INFO] 2020-01-31 22:45:08,449: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-31 22:45:08,449: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-31 22:45:08,450: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-31 22:45:08,450: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-31 22:45:08,450: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-31 22:45:08,450: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-31 22:45:08,519: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:45:08,520: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__36665] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:45:08,596: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:45:08,596: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:45:08,597: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:45:08,597: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:45:08,597: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:45:08,597: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:45:08,597: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:45:08,597: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:45:08,597: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:45:08,597: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:45:08,597: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:45:08,597: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:45:08,656: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33485/
[rosmaster.master][INFO] 2020-01-31 22:45:08,656: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33485/
[rosmaster.master][INFO] 2020-01-31 22:45:08,657: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33485/
[rosmaster.master][INFO] 2020-01-31 22:45:08,660: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33485/
[rosmaster.master][INFO] 2020-01-31 22:45:08,727: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45959/
[rosmaster.master][INFO] 2020-01-31 22:45:08,728: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45959/
[rosmaster.master][INFO] 2020-01-31 22:45:08,728: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45959/
[rosmaster.master][INFO] 2020-01-31 22:45:08,750: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33485/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45959/']
[rosmaster.master][INFO] 2020-01-31 22:45:08,751: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33485/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45959/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-31 22:45:08,787: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:32997/
[rosmaster.master][INFO] 2020-01-31 22:45:08,787: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:32997/
[rosmaster.master][INFO] 2020-01-31 22:45:08,788: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:32997/
[rosmaster.master][INFO] 2020-01-31 22:45:08,807: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45959/
[rosmaster.master][INFO] 2020-01-31 22:45:08,808: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45959/
[rosmaster.master][INFO] 2020-01-31 22:45:08,808: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45959/
[rosmaster.master][INFO] 2020-01-31 22:45:08,809: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45959/
[rosmaster.master][INFO] 2020-01-31 22:45:08,811: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-01-31 22:45:08,811: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-01-31 22:45:08,811: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-01-31 22:45:08,812: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-01-31 22:45:08,812: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-01-31 22:45:08,813: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-01-31 22:45:08,850: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33485/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45959/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:32997/']
