[rosmaster.main][INFO] 2019-12-31 21:41:40,125: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 21:41:40,125: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 21:41:40,126: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 21:41:40,126: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 21:41:40,126: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 21:41:40,126: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 21:41:40,176: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:41:40,177: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34549] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:41:40,247: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:41:40,247: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:41:40,252: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38265/
[rosmaster.master][INFO] 2019-12-31 21:41:40,252: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38265/
[rosmaster.master][INFO] 2019-12-31 21:41:40,254: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38265/
[rosmaster.master][INFO] 2019-12-31 21:41:40,257: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38265/
[rosmaster.master][INFO] 2019-12-31 21:41:42,702: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44173] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:41:42,705: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:41:42,705: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:41:42,705: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:41:42,705: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:41:42,705: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:41:42,705: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:41:42,705: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:41:42,705: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:41:42,705: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:41:42,705: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:41:42,705: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:41:42,706: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:41:42,787: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41235/
