[rosmaster.main][INFO] 2019-12-29 03:07:21,013: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-29 03:07:21,013: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-29 03:07:21,014: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-29 03:07:21,014: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-29 03:07:21,014: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-29 03:07:21,014: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-29 03:07:21,062: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:07:21,063: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43739] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:07:21,134: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:07:21,134: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:07:21,139: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44173/
[rosmaster.master][INFO] 2019-12-29 03:07:21,139: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44173/
[rosmaster.master][INFO] 2019-12-29 03:07:21,141: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44173/
[rosmaster.master][INFO] 2019-12-29 03:07:21,144: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44173/
[rosmaster.master][INFO] 2019-12-29 03:07:22,866: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38707] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:07:22,868: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:07:22,868: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:07:22,868: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:07:22,868: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:07:22,868: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:07:22,868: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:07:22,869: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:07:22,869: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:07:22,869: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:07:22,869: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:07:22,869: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:07:22,869: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:07:22,955: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46653/
[rosmaster.master][INFO] 2019-12-29 03:07:22,956: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46653/
[rosmaster.master][INFO] 2019-12-29 03:07:22,957: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46653/
[rosmaster.master][INFO] 2019-12-29 03:07:22,965: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35003/
[rosmaster.master][INFO] 2019-12-29 03:07:22,966: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35003/
[rosmaster.master][INFO] 2019-12-29 03:07:22,966: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35003/
[rosmaster.master][INFO] 2019-12-29 03:07:22,976: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42317/
[rosmaster.master][INFO] 2019-12-29 03:07:22,977: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42317/
[rosmaster.master][INFO] 2019-12-29 03:07:22,977: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42317/
