[rosmaster.main][INFO] 2019-12-31 19:18:30,651: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 19:18:30,651: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 19:18:30,652: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 19:18:30,652: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 19:18:30,652: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 19:18:30,652: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 19:18:30,699: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:18:30,701: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39997] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:18:30,783: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:18:30,784: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:18:30,789: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46201/
[rosmaster.master][INFO] 2019-12-31 19:18:30,789: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46201/
[rosmaster.master][INFO] 2019-12-31 19:18:30,791: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46201/
[rosmaster.master][INFO] 2019-12-31 19:18:30,794: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46201/
[rosmaster.master][INFO] 2019-12-31 19:18:33,329: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43341] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:18:33,332: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:18:33,332: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:18:33,332: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:18:33,332: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:18:33,332: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:18:33,332: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:18:33,332: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:18:33,332: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:18:33,332: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:18:33,332: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:18:33,332: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:18:33,333: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:18:33,414: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/
[rosmaster.master][INFO] 2019-12-31 19:18:33,414: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/
[rosmaster.master][INFO] 2019-12-31 19:18:33,415: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/
[rosmaster.master][INFO] 2019-12-31 19:18:33,420: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/
[rosmaster.master][INFO] 2019-12-31 19:18:33,421: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/
[rosmaster.master][INFO] 2019-12-31 19:18:33,422: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/
[rosmaster.master][INFO] 2019-12-31 19:18:33,429: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37257/
[rosmaster.master][INFO] 2019-12-31 19:18:33,430: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37257/
[rosmaster.master][INFO] 2019-12-31 19:18:33,431: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37257/
[rosmaster.master][INFO] 2019-12-31 19:18:33,445: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33549/
[rosmaster.master][INFO] 2019-12-31 19:18:33,445: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33549/
[rosmaster.master][INFO] 2019-12-31 19:18:33,446: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33549/
[rosmaster.master][INFO] 2019-12-31 19:18:33,452: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/
[rosmaster.master][INFO] 2019-12-31 19:18:33,453: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/
[rosmaster.master][INFO] 2019-12-31 19:18:33,453: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/
[rosmaster.master][INFO] 2019-12-31 19:18:33,455: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 19:18:33,456: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 19:18:33,458: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46201/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/']
[rosmaster.master][INFO] 2019-12-31 19:18:33,459: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/
[rosmaster.master][INFO] 2019-12-31 19:18:33,460: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/
[rosmaster.master][INFO] 2019-12-31 19:18:33,460: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46201/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 19:18:33,461: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46201/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/']
[rosmaster.master][INFO] 2019-12-31 19:18:33,462: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46201/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 19:18:33,462: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46201/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37257/']
[rosmaster.master][INFO] 2019-12-31 19:18:33,462: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46201/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37257/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 19:18:33,462: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46201/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37257/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33549/']
[rosmaster.master][INFO] 2019-12-31 19:18:33,463: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/
[rosmaster.master][INFO] 2019-12-31 19:18:33,463: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:46201/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37257/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33549/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 19:18:33,464: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/
[rosmaster.master][INFO] 2019-12-31 19:18:33,466: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/
[rosmaster.master][INFO] 2019-12-31 19:18:33,467: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/
[rosmaster.master][INFO] 2019-12-31 19:18:33,468: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/
[rosmaster.master][INFO] 2019-12-31 19:18:33,469: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/
[rosmaster.master][INFO] 2019-12-31 19:18:33,473: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,474: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 19:18:33,475: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,475: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 19:18:33,476: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,477: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 19:18:33,477: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,479: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 19:18:33,480: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,480: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 19:18:33,482: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,482: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 19:18:33,483: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/
[rosmaster.master][INFO] 2019-12-31 19:18:33,484: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/
[rosmaster.master][INFO] 2019-12-31 19:18:33,485: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/
[rosmaster.master][INFO] 2019-12-31 19:18:33,486: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/
[rosmaster.master][INFO] 2019-12-31 19:18:33,486: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/
[rosmaster.master][INFO] 2019-12-31 19:18:33,487: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37257/
[rosmaster.master][INFO] 2019-12-31 19:18:33,487: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/
[rosmaster.master][INFO] 2019-12-31 19:18:33,489: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/
[rosmaster.master][INFO] 2019-12-31 19:18:33,490: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/
[rosmaster.master][INFO] 2019-12-31 19:18:33,494: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,495: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 19:18:33,496: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,496: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 19:18:33,497: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,498: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 19:18:33,498: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37257/
[rosmaster.master][INFO] 2019-12-31 19:18:33,499: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,500: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 19:18:33,501: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,501: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 19:18:33,502: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,503: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 19:18:33,504: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/
[rosmaster.master][INFO] 2019-12-31 19:18:33,505: +PUB [/usb_cam/image_mono] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/
[rosmaster.master][INFO] 2019-12-31 19:18:33,506: +SUB [/usb_cam/camera_info] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37257/
[rosmaster.master][INFO] 2019-12-31 19:18:33,506: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/
[rosmaster.master][INFO] 2019-12-31 19:18:33,507: +PUB [/whycon/image_out] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37257/
[rosmaster.master][INFO] 2019-12-31 19:18:33,507: +PUB [/usb_cam/image_mono/theora] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/
[rosmaster.master][INFO] 2019-12-31 19:18:33,508: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/
[rosmaster.master][INFO] 2019-12-31 19:18:33,509: +PUB [/whycon/poses] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37257/
[rosmaster.master][INFO] 2019-12-31 19:18:33,509: +SERVICE [/usb_cam/image_mono/theora/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/
[rosmaster.master][INFO] 2019-12-31 19:18:33,510: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/
[rosmaster.master][INFO] 2019-12-31 19:18:33,511: +PUB [/whycon/context] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37257/
[rosmaster.master][INFO] 2019-12-31 19:18:33,511: +PUB [/usb_cam/image_mono/theora/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/
[rosmaster.master][INFO] 2019-12-31 19:18:33,512: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/
[rosmaster.master][INFO] 2019-12-31 19:18:33,513: +PUB [/whycon/projection] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37257/
[rosmaster.master][INFO] 2019-12-31 19:18:33,513: +PUB [/usb_cam/image_mono/theora/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43399/
[rosmaster.master][INFO] 2019-12-31 19:18:33,515: +SERVICE [/whycon/reset] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37257/
[rosmaster.master][INFO] 2019-12-31 19:18:33,519: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,520: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,522: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,522: +PARAM [/usb_cam/image_mono/theora/optimize_for] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 19:18:33,523: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,523: +PARAM [/usb_cam/image_mono/theora/target_bitrate] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 19:18:33,524: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,524: +PARAM [/usb_cam/image_mono/theora/quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 19:18:33,525: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,527: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,527: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 19:18:33,528: +PARAM [/usb_cam/image_mono/theora/keyframe_frequency] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 19:18:33,529: +PUB [/usb_cam/camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37377/
[rosmaster.master][INFO] 2019-12-31 19:18:33,530: +PARAM [/usb_cam/image_mono/theora/optimize_for] by /usb_cam/image_proc
