[rosmaster.main][INFO] 2020-02-03 22:34:27,477: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-03 22:34:27,477: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-03 22:34:27,478: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-03 22:34:27,478: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-03 22:34:27,479: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-03 22:34:27,479: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-03 22:34:27,499: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:34:27,500: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42445] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:34:27,618: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:34:27,619: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:34:27,619: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:34:27,619: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:34:27,619: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:34:27,619: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:34:27,619: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:34:27,619: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:34:27,620: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:34:27,620: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:34:27,620: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:34:27,620: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:34:28,289: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40243/
[rosmaster.master][INFO] 2020-02-03 22:34:28,292: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40243/
[rosmaster.master][INFO] 2020-02-03 22:34:28,297: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40243/
[rosmaster.master][INFO] 2020-02-03 22:34:28,308: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40243/
[rosmaster.master][INFO] 2020-02-03 22:34:29,799: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39571/
[rosmaster.master][INFO] 2020-02-03 22:34:29,802: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39571/
[rosmaster.master][INFO] 2020-02-03 22:34:29,804: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39571/
[rosmaster.master][INFO] 2020-02-03 22:34:29,883: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40243/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39571/']
[rosmaster.master][INFO] 2020-02-03 22:34:29,885: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40243/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39571/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-03 22:34:29,934: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35927/
[rosmaster.master][INFO] 2020-02-03 22:34:29,937: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35927/
[rosmaster.master][INFO] 2020-02-03 22:34:29,939: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35927/
