[rosmaster.main][INFO] 2019-12-23 03:00:10,325: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-23 03:00:10,325: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-23 03:00:10,326: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-23 03:00:10,326: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-23 03:00:10,326: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-23 03:00:10,327: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-23 03:00:10,374: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:00:10,376: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43787] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:00:10,481: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:00:10,481: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:00:10,481: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:00:10,481: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:00:10,481: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:00:10,481: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:00:10,481: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:00:10,481: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:00:10,481: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:00:10,481: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:00:10,482: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:00:10,482: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:00:10,483: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43243/
[rosmaster.master][INFO] 2019-12-23 03:00:10,484: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43243/
[rosmaster.master][INFO] 2019-12-23 03:00:10,485: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43243/
[rosmaster.master][INFO] 2019-12-23 03:00:10,488: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43243/
[rosmaster.master][INFO] 2019-12-23 03:00:10,504: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39947/
[rosmaster.master][INFO] 2019-12-23 03:00:10,505: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39947/
[rosmaster.master][INFO] 2019-12-23 03:00:10,506: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39947/
[rosmaster.master][INFO] 2019-12-23 03:00:10,516: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45087/
[rosmaster.master][INFO] 2019-12-23 03:00:10,517: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45087/
[rosmaster.master][INFO] 2019-12-23 03:00:10,517: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45087/
[rosmaster.master][INFO] 2019-12-23 03:00:10,526: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43243/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39947/']
[rosmaster.master][INFO] 2019-12-23 03:00:10,528: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43243/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39947/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-23 03:00:10,529: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43243/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39947/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45087/']
[rosmaster.master][INFO] 2019-12-23 03:00:10,530: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43243/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39947/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45087/']: sec=0.00, result=[1, '', 0]
