[rosmaster.main][INFO] 2019-12-31 21:05:57,325: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 21:05:57,325: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 21:05:57,326: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 21:05:57,326: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 21:05:57,326: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 21:05:57,326: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 21:05:57,380: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:05:57,383: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__40143] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:05:57,485: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:05:57,485: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:05:57,490: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44011/
[rosmaster.master][INFO] 2019-12-31 21:05:57,490: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44011/
[rosmaster.master][INFO] 2019-12-31 21:05:57,492: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44011/
[rosmaster.master][INFO] 2019-12-31 21:05:57,494: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44011/
[rosmaster.master][INFO] 2019-12-31 21:05:59,489: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46865] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:05:59,502: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:05:59,502: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:05:59,502: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:05:59,503: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:05:59,503: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:05:59,504: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:05:59,504: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:05:59,505: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:05:59,505: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:05:59,506: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:05:59,506: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:05:59,507: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:05:59,604: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:32807/
[rosmaster.master][INFO] 2019-12-31 21:05:59,605: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:32807/
[rosmaster.master][INFO] 2019-12-31 21:05:59,606: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:32807/
[rosmaster.master][INFO] 2019-12-31 21:05:59,613: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39567/
[rosmaster.master][INFO] 2019-12-31 21:05:59,614: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39567/
