[rosmaster.main][INFO] 2020-02-05 21:49:10,772: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-05 21:49:10,772: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-05 21:49:10,773: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2020-02-05 21:49:10,773: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-05 21:49:10,774: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-05 21:49:10,774: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-05 21:49:10,825: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:49:10,827: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41331] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:49:10,925: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:49:10,925: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:49:10,925: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:49:10,925: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:49:10,925: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:49:10,925: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:49:10,925: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:49:10,925: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:49:10,925: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:49:10,925: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:49:10,926: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:49:10,926: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:49:10,926: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:49:10,926: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:49:10,927: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36069/
[rosmaster.master][INFO] 2020-02-05 21:49:10,928: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36069/
[rosmaster.master][INFO] 2020-02-05 21:49:10,929: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36069/
[rosmaster.master][INFO] 2020-02-05 21:49:10,932: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36069/
[rosmaster.master][INFO] 2020-02-05 21:49:10,957: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37569/
[rosmaster.master][INFO] 2020-02-05 21:49:10,958: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37569/
[rosmaster.master][INFO] 2020-02-05 21:49:10,959: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37569/
[rosmaster.master][INFO] 2020-02-05 21:49:10,967: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35767/
[rosmaster.master][INFO] 2020-02-05 21:49:10,968: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35767/
[rosmaster.master][INFO] 2020-02-05 21:49:10,969: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35767/
[rosmaster.master][INFO] 2020-02-05 21:49:10,973: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36069/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37569/']
[rosmaster.master][INFO] 2020-02-05 21:49:10,975: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36069/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37569/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-05 21:49:10,975: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36069/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37569/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35767/']
[rosmaster.master][INFO] 2020-02-05 21:49:10,975: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36069/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37569/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35767/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-05 21:49:10,978: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33599/
[rosmaster.master][INFO] 2020-02-05 21:49:10,978: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33599/
