[rosmaster.main][INFO] 2019-12-16 00:38:15,598: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-16 00:38:15,598: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-16 00:38:15,599: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-16 00:38:15,599: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-16 00:38:15,599: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-16 00:38:15,599: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-16 00:38:15,637: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:38:15,638: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38039] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:38:15,712: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:38:15,712: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:38:15,717: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34155/
[rosmaster.master][INFO] 2019-12-16 00:38:15,717: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34155/
[rosmaster.master][INFO] 2019-12-16 00:38:15,719: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34155/
[rosmaster.master][INFO] 2019-12-16 00:38:15,721: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34155/
[rosmaster.master][INFO] 2019-12-16 00:41:19,232: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45989] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:41:19,234: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:41:19,234: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:41:19,234: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:41:19,234: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:41:19,234: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:41:19,235: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:41:19,235: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:41:19,235: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:41:19,315: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39597/
[rosmaster.master][INFO] 2019-12-16 00:41:19,316: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39597/
[rosmaster.master][INFO] 2019-12-16 00:41:19,317: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39597/
[rosmaster.master][INFO] 2019-12-16 00:41:19,325: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34185/
[rosmaster.master][INFO] 2019-12-16 00:41:19,326: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34185/
