[rosmaster.main][INFO] 2020-02-27 08:08:35,196: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 08:08:35,196: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 08:08:35,197: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 08:08:35,197: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 08:08:35,197: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 08:08:35,197: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 08:08:35,252: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:08:35,256: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35645] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:08:35,357: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:08:35,357: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:08:35,358: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:08:35,358: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:08:35,358: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:08:35,358: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:08:35,358: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:08:35,358: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:08:35,358: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:08:35,358: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:08:35,358: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:08:35,358: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:08:35,358: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:08:35,359: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:08:35,360: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40553/
[rosmaster.master][INFO] 2020-02-27 08:08:35,360: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40553/
[rosmaster.master][INFO] 2020-02-27 08:08:35,361: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40553/
[rosmaster.master][INFO] 2020-02-27 08:08:35,364: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40553/
[rosmaster.master][INFO] 2020-02-27 08:08:35,392: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33527/
[rosmaster.master][INFO] 2020-02-27 08:08:35,393: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33527/
[rosmaster.master][INFO] 2020-02-27 08:08:35,394: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33527/
[rosmaster.master][INFO] 2020-02-27 08:08:35,396: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40553/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33527/']
[rosmaster.master][INFO] 2020-02-27 08:08:35,398: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40553/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33527/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 08:08:35,401: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38147/
[rosmaster.master][INFO] 2020-02-27 08:08:35,402: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38147/
[rosmaster.master][INFO] 2020-02-27 08:08:35,403: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38147/
[rosmaster.master][INFO] 2020-02-27 08:08:35,421: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37943/
[rosmaster.master][INFO] 2020-02-27 08:08:35,422: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37943/
[rosmaster.master][INFO] 2020-02-27 08:08:35,423: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37943/
[rosmaster.master][INFO] 2020-02-27 08:08:35,427: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41577/
[rosmaster.master][INFO] 2020-02-27 08:08:35,428: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41577/
[rosmaster.master][INFO] 2020-02-27 08:08:35,429: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41577/
[rosmaster.master][INFO] 2020-02-27 08:08:35,434: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38147/
[rosmaster.master][INFO] 2020-02-27 08:08:35,435: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38147/
[rosmaster.master][INFO] 2020-02-27 08:08:35,436: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38147/
[rosmaster.master][INFO] 2020-02-27 08:08:35,437: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 08:08:35,437: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 08:08:35,439: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38147/
[rosmaster.master][INFO] 2020-02-27 08:08:35,440: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38147/
[rosmaster.master][INFO] 2020-02-27 08:08:35,441: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38147/
[rosmaster.master][INFO] 2020-02-27 08:08:35,442: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38147/
[rosmaster.master][INFO] 2020-02-27 08:08:35,445: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 08:08:35,446: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 08:08:35,447: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 08:08:35,448: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 08:08:35,449: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 08:08:35,450: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 08:08:35,451: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38147/
[rosmaster.master][INFO] 2020-02-27 08:08:35,452: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38147/
[rosmaster.master][INFO] 2020-02-27 08:08:35,453: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38147/
