[rosmaster.main][INFO] 2020-01-30 17:02:53,959: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-30 17:02:53,959: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-30 17:02:53,960: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-30 17:02:53,960: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-30 17:02:53,960: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-30 17:02:53,960: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-30 17:02:54,024: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 17:02:54,028: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46039] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 17:02:54,143: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 17:02:54,143: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 17:02:54,148: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32985/
[rosmaster.master][INFO] 2020-01-30 17:02:54,148: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32985/
[rosmaster.master][INFO] 2020-01-30 17:02:54,150: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32985/
[rosmaster.master][INFO] 2020-01-30 17:02:54,152: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32985/
[rosmaster.master][INFO] 2020-01-30 17:03:32,516: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37977] by /roslaunch
