[rosmaster.main][INFO] 2019-12-28 00:02:37,894: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-28 00:02:37,894: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-28 00:02:37,895: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-28 00:02:37,895: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-28 00:02:37,895: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-28 00:02:37,896: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-28 00:02:37,943: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:02:37,945: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38859] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:02:38,017: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:02:38,018: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:02:38,022: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32791/
[rosmaster.master][INFO] 2019-12-28 00:02:38,023: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32791/
[rosmaster.master][INFO] 2019-12-28 00:02:38,024: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32791/
[rosmaster.master][INFO] 2019-12-28 00:02:38,027: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32791/
[rosmaster.master][INFO] 2019-12-28 00:02:40,249: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__36071] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:02:40,251: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:02:40,251: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:02:40,252: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:02:40,252: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:02:40,252: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:02:40,252: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:02:40,252: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:02:40,252: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:02:40,252: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:02:40,252: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:02:40,252: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:02:40,252: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:02:40,341: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42827/
[rosmaster.master][INFO] 2019-12-28 00:02:40,342: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42827/
[rosmaster.master][INFO] 2019-12-28 00:02:40,342: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42827/
[rosmaster.master][INFO] 2019-12-28 00:02:40,344: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41239/
[rosmaster.master][INFO] 2019-12-28 00:02:40,345: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41239/
[rosmaster.master][INFO] 2019-12-28 00:02:40,346: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41239/
[rosmaster.master][INFO] 2019-12-28 00:02:40,354: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42033/
[rosmaster.master][INFO] 2019-12-28 00:02:40,355: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42033/
[rosmaster.master][INFO] 2019-12-28 00:02:40,356: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42033/
[rosmaster.master][INFO] 2019-12-28 00:02:40,370: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37531/
[rosmaster.master][INFO] 2019-12-28 00:02:40,370: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37531/
[rosmaster.master][INFO] 2019-12-28 00:02:40,371: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37531/
[rosmaster.master][INFO] 2019-12-28 00:02:40,375: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42827/
[rosmaster.master][INFO] 2019-12-28 00:02:40,376: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41239/
[rosmaster.master][INFO] 2019-12-28 00:02:40,377: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42827/
[rosmaster.master][INFO] 2019-12-28 00:02:40,378: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41239/
[rosmaster.master][INFO] 2019-12-28 00:02:40,379: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42827/
[rosmaster.master][INFO] 2019-12-28 00:02:40,381: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41239/
[rosmaster.master][INFO] 2019-12-28 00:02:40,381: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42827/
[rosmaster.master][INFO] 2019-12-28 00:02:40,384: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:02:40,385: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:02:40,391: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:02:40,392: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41239/
[rosmaster.master][INFO] 2019-12-28 00:02:40,393: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:02:40,394: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41239/
[rosmaster.master][INFO] 2019-12-28 00:02:40,395: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:02:40,395: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41239/
[rosmaster.master][INFO] 2019-12-28 00:02:40,396: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:02:40,397: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41239/
[rosmaster.master][INFO] 2019-12-28 00:02:40,398: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:02:40,399: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:02:40,400: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:32791/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42827/']
[rosmaster.master][INFO] 2019-12-28 00:02:40,402: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42827/
[rosmaster.master][INFO] 2019-12-28 00:02:40,402: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:32791/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42827/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 00:02:40,402: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:32791/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42827/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41239/']
[rosmaster.master][INFO] 2019-12-28 00:02:40,403: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:02:40,403: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42827/
[rosmaster.master][INFO] 2019-12-28 00:02:40,404: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:32791/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42827/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41239/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 00:02:40,405: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:02:40,405: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:32791/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42827/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41239/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42033/']
[rosmaster.master][INFO] 2019-12-28 00:02:40,406: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42033/
[rosmaster.master][INFO] 2019-12-28 00:02:40,406: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:32791/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42827/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41239/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42033/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 00:02:40,407: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42827/
[rosmaster.master][INFO] 2019-12-28 00:02:40,407: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:32791/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42827/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41239/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42033/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37531/']
[rosmaster.master][INFO] 2019-12-28 00:02:40,407: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
