[rosmaster.main][INFO] 2019-12-26 15:14:06,621: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-26 15:14:06,621: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-26 15:14:06,622: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-26 15:14:06,622: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-26 15:14:06,622: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-26 15:14:06,622: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-26 15:14:06,651: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 15:14:06,652: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42859] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 15:14:06,737: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 15:14:06,737: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 15:14:06,745: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-26 15:14:06,746: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-26 15:14:06,749: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-26 15:14:06,753: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-26 15:14:07,546: -PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-26 15:14:07,547: -SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41933/
[rosmaster.master][INFO] 2019-12-26 15:14:07,548: -SERVICE [/rosout/get_loggers] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:44469
[rosmaster.master][INFO] 2019-12-26 15:14:07,549: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:44469
[rosmaster.main][INFO] 2019-12-26 15:14:07,634: keyboard interrupt, will exit
[rosmaster.main][INFO] 2019-12-26 15:14:07,634: stopping master...
[rospy.core][INFO] 2019-12-26 15:14:07,635: signal_shutdown [atexit]
