[rosmaster.main][INFO] 2019-12-18 02:01:52,244: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-18 02:01:52,244: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-18 02:01:52,245: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-18 02:01:52,245: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-18 02:01:52,246: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-18 02:01:52,246: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-18 02:01:52,281: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:01:52,282: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45407] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:01:52,375: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:01:52,375: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:01:52,375: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:01:52,375: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:01:52,375: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:01:52,375: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:01:52,376: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:01:52,376: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 02:01:52,379: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38405/
[rosmaster.master][INFO] 2019-12-18 02:01:52,380: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38405/
[rosmaster.master][INFO] 2019-12-18 02:01:52,381: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38405/
[rosmaster.master][INFO] 2019-12-18 02:01:52,387: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38405/
[rosmaster.master][INFO] 2019-12-18 02:01:52,404: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,404: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,405: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,421: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33665/
[rosmaster.master][INFO] 2019-12-18 02:01:52,422: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33665/
[rosmaster.master][INFO] 2019-12-18 02:01:52,423: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33665/
[rosmaster.master][INFO] 2019-12-18 02:01:52,445: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38405/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/']
[rosmaster.master][INFO] 2019-12-18 02:01:52,446: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38405/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-18 02:01:52,446: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38405/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33665/']
[rosmaster.master][INFO] 2019-12-18 02:01:52,447: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38405/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33665/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-18 02:01:52,452: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,453: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,453: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,454: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,456: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,456: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,457: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,458: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,458: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,459: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,460: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,461: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,461: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,462: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,464: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,465: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,466: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,467: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,468: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,468: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,470: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,472: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,473: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,473: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,474: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,478: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,478: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,479: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,480: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,480: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,481: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,481: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,482: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 02:01:52,483: +PUB [/usb_cam/camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,497: +SERVICE [/usb_cam/set_camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,497: +SERVICE [/usb_cam/start_capture] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,498: +SERVICE [/usb_cam/stop_capture] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:01:52,605: +SUB [/usb_cam/image_raw] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33665/
[rosmaster.master][INFO] 2019-12-18 02:01:52,605: +PUB [/usb_cam_display/image_view/output] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33665/
[rosmaster.master][INFO] 2019-12-18 02:01:52,606: +SERVICE [/usb_cam_display/image_view/set_parameters] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33665/
[rosmaster.master][INFO] 2019-12-18 02:01:52,607: +PUB [/usb_cam_display/image_view/parameter_descriptions] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33665/
[rosmaster.master][INFO] 2019-12-18 02:01:52,608: +PUB [/usb_cam_display/image_view/parameter_updates] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33665/
[rosmaster.master][INFO] 2019-12-18 02:01:52,611: +PARAM [/usb_cam_display/image_view/do_dynamic_scaling] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 02:01:52,612: +PARAM [/usb_cam_display/image_view/colormap] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 02:01:52,613: +PARAM [/usb_cam_display/image_view/min_image_value] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 02:01:52,615: +PARAM [/usb_cam_display/image_view/max_image_value] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 02:01:52,616: +PARAM [/usb_cam_display/image_view/do_dynamic_scaling] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 02:01:52,617: +PARAM [/usb_cam_display/image_view/colormap] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 02:01:52,618: +PARAM [/usb_cam_display/image_view/min_image_value] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 02:01:52,618: +PARAM [/usb_cam_display/image_view/max_image_value] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 02:03:56,242: -PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:03:56,242: -PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:03:56,243: -PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:03:56,243: -PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:03:56,244: -PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:03:56,244: -PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:03:56,245: -PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:03:56,245: -PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:03:56,246: -PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:03:56,246: -PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:03:56,246: -PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:03:56,247: -PUB [/usb_cam/camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-18 02:03:56,247: -SERVICE [/usb_cam/get_loggers] /usb_cam rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:35755
[rosmaster.master][INFO] 2019-12-18 02:03:56,248: -SERVICE [/usb_cam/set_logger_level] /usb_cam rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:35755
[rosmaster.master][INFO] 2019-12-18 02:03:56,248: -SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:35755
[rosmaster.master][INFO] 2019-12-18 02:03:56,249: -SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:35755
[rosmaster.master][INFO] 2019-12-18 02:03:56,249: -SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:35755
