[rosmaster.main][INFO] 2020-02-28 19:41:49,273: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 19:41:49,273: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 19:41:49,274: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 19:41:49,274: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 19:41:49,274: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 19:41:49,274: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 19:41:49,321: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:41:49,322: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43823] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:41:49,410: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:41:49,411: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:41:49,411: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:41:49,411: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:41:49,411: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:41:49,411: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:41:49,411: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:41:49,411: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:41:49,411: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:41:49,411: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:41:49,411: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:41:49,411: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:41:49,411: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:41:49,411: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:41:49,413: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39839/
[rosmaster.master][INFO] 2020-02-28 19:41:49,414: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39839/
[rosmaster.master][INFO] 2020-02-28 19:41:49,415: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39839/
[rosmaster.master][INFO] 2020-02-28 19:41:49,418: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39839/
[rosmaster.master][INFO] 2020-02-28 19:41:49,444: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43085/
[rosmaster.master][INFO] 2020-02-28 19:41:49,445: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43085/
[rosmaster.master][INFO] 2020-02-28 19:41:49,445: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43085/
[rosmaster.master][INFO] 2020-02-28 19:41:49,456: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/
[rosmaster.master][INFO] 2020-02-28 19:41:49,457: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/
[rosmaster.master][INFO] 2020-02-28 19:41:49,458: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/
[rosmaster.master][INFO] 2020-02-28 19:41:49,467: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38323/
[rosmaster.master][INFO] 2020-02-28 19:41:49,468: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38323/
[rosmaster.master][INFO] 2020-02-28 19:41:49,468: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38323/
[rosmaster.master][INFO] 2020-02-28 19:41:49,473: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39839/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43085/']
[rosmaster.master][INFO] 2020-02-28 19:41:49,475: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39839/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43085/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 19:41:49,475: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39839/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43085/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/']
[rosmaster.master][INFO] 2020-02-28 19:41:49,476: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39839/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43085/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 19:41:49,476: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39839/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43085/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38323/']
[rosmaster.master][INFO] 2020-02-28 19:41:49,477: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43741/
[rosmaster.master][INFO] 2020-02-28 19:41:49,477: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39839/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43085/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38323/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 19:41:49,478: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39839/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43085/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38323/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43741/']
[rosmaster.master][INFO] 2020-02-28 19:41:49,478: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39839/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43085/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38323/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43741/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 19:41:49,478: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43741/
[rosmaster.master][INFO] 2020-02-28 19:41:49,479: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43741/
[rosmaster.master][INFO] 2020-02-28 19:41:49,488: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43085/
[rosmaster.master][INFO] 2020-02-28 19:41:49,489: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43085/
[rosmaster.master][INFO] 2020-02-28 19:41:49,490: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43085/
[rosmaster.master][INFO] 2020-02-28 19:41:49,491: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43085/
[rosmaster.master][INFO] 2020-02-28 19:41:49,493: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/
[rosmaster.master][INFO] 2020-02-28 19:41:49,494: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/
[rosmaster.master][INFO] 2020-02-28 19:41:49,495: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 19:41:49,496: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/
[rosmaster.master][INFO] 2020-02-28 19:41:49,497: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 19:41:49,498: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 19:41:49,498: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 19:41:49,499: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 19:41:49,500: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 19:41:49,500: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 19:41:49,501: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 19:41:49,502: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/
[rosmaster.master][INFO] 2020-02-28 19:41:49,503: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43085/
[rosmaster.master][INFO] 2020-02-28 19:41:49,504: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/
[rosmaster.master][INFO] 2020-02-28 19:41:49,504: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43085/
[rosmaster.master][INFO] 2020-02-28 19:41:49,505: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/
[rosmaster.master][INFO] 2020-02-28 19:41:49,506: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43085/
[rosmaster.master][INFO] 2020-02-28 19:41:49,506: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/
[rosmaster.master][INFO] 2020-02-28 19:41:49,507: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43085/
[rosmaster.master][INFO] 2020-02-28 19:41:49,510: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 19:41:49,511: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 19:41:49,512: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 19:41:49,513: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 19:41:49,514: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 19:41:49,515: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 19:41:49,517: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 19:41:49,518: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 19:41:49,519: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 19:41:49,519: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 19:41:49,521: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 19:41:49,521: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/
[rosmaster.master][INFO] 2020-02-28 19:41:49,522: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 19:41:49,523: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/
